N,P,K,Temperature,Humidity,pH,Rainfall,Label,Soil_Moisture,Soil_Type,Sunlight_Exposure,Wind_Speed,CO2_Concentration,Organic_Matter,Irrigation_Frequency,Crop_Density,Pest_Pressure,Fertilizer_Usage,Growth_Stage,Urban_Area_Proximity,Water_Source_Type,Frost_Risk,Water_Usage_Efficiency,THI,NBR,WAI,PP,SFI
90,42,43,20.87,82.00,6.50,202.93,rice,45.2,2,7.5,12.5,410.2,2.5,3,15,1.2,120.5,2,15.2,1,0.1,12.4,24.5,1.05,0.85,0.72,0.68
85,58,41,21.77,80.31,7.03,226.65,rice,42.8,2,6.8,10.2,408.5,2.7,3,15,1.0,118.0,2,14.8,1,0.0,13.1,25.1,0.98,0.82,0.69,0.71
60,55,44,23.00,82.32,7.84,263.96,rice,48.0,3,5.9,15.1,415.0,3.0,4,18,1.5,130.2,2,16.5,1,0.1,11.8,26.4,0.85,0.91,0.65,0.75
74,35,40,26.49,80.15,6.98,242.86,rice,46.5,2,8.0,11.8,412.8,2.3,3,14,1.8,125.0,2,15.0,2,0.0,12.9,28.2,1.10,0.88,0.78,0.64
78,42,42,20.13,81.60,7.62,262.71,rice,49.1,3,6.2,14.5,411.3,2.8,4,16,1.1,128.4,2,15.8,1,0.2,11.5,23.8,0.95,0.93,0.62,0.73
69,37,42,23.05,83.37,7.07,251.05,rice,47.3,3,7.2,13.0,409.8,2.6,3,15,1.3,122.0,2,16.0,1,0.1,12.2,25.9,0.90,0.89,0.71,0.69
88,54,38,20.70,82.50,5.70,263.00,rice,48.2,3,6.5,14.0,413.0,2.9,4,17,1.0,127.5,2,15.5,1,0.1,11.2,24.1,1.02,0.92,0.66,0.72
90,56,45,20.25,82.80,6.00,242.00,rice,47.8,2,7.0,12.0,414.0,2.8,3,15,0.8,121.5,2,14.7,2,0.0,12.7,23.9,0.96,0.87,0.73,0.70
89,58,40,24.40,83.15,6.50,218.00,rice,45.0,2,7.3,11.5,412.5,2.5,3,15,1.2,119.0,2,15.1,1,0.1,13.2,27.1,0.99,0.83,0.75,0.67
90,44,43,20.87,82.00,6.50,202.93,rice,45.2,2,7.5,12.5,410.2,2.5,3,15,1.2,120.5,2,15.2,1,0.1,12.4,24.5,1.05,0.85,0.72,0.68
