date,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2025-12-10 18:30:00+00:00,8.054,14.854,19.804,21.604,0.106,0.107,0.116,0.15,0.232
2025-12-10 19:30:00+00:00,7.554,14.204,19.504,21.604,0.107,0.107,0.116,0.151,0.232
2025-12-10 20:30:00+00:00,7.4040003,13.654,19.204,21.604,0.107,0.108,0.116,0.151,0.232
2025-12-10 21:30:00+00:00,6.854,13.254,18.854,21.604,0.108,0.108,0.116,0.151,0.232
2025-12-10 22:30:00+00:00,6.304,12.804,18.554,21.554,0.108,0.109,0.116,0.151,0.232
2025-12-10 23:30:00+00:00,6.354,12.504,18.254,21.554,0.107,0.108,0.117,0.153,0.234
2025-12-11 00:30:00+00:00,6.704,12.154,17.954,21.554,0.107,0.108,0.117,0.153,0.234
2025-12-11 01:30:00+00:00,16.304,12.654,17.654,21.554,0.107,0.108,0.117,0.153,0.234
2025-12-11 02:30:00+00:00,24.604,14.954,17.504,21.504,0.106,0.109,0.117,0.153,0.234
2025-12-11 03:30:00+00:00,27.954,17.704,17.554,21.504,0.104,0.108,0.116,0.153,0.234
2025-12-11 04:30:00+00:00,29.454,20.054,17.804,21.454,0.101,0.108,0.116,0.152,0.233
2025-12-11 05:30:00+00:00,29.654,21.804,18.104,21.454,0.099,0.107,0.116,0.152,0.233
2025-12-11 06:30:00+00:00,30.504,22.954,18.504,21.454,0.098,0.106,0.115,0.151,0.233
2025-12-11 07:30:00+00:00,30.604,23.854,18.954,21.454,0.096,0.106,0.115,0.151,0.232
2025-12-11 08:30:00+00:00,29.454,24.404,19.404,21.454,0.095,0.105,0.115,0.15,0.232
2025-12-11 09:30:00+00:00,25.554,24.354,19.804,21.454,0.095,0.104,0.115,0.15,0.232
2025-12-11 10:30:00+00:00,21.154,23.554,20.154,21.454,0.096,0.104,0.115,0.15,0.232
2025-12-11 11:30:00+00:00,17.004,22.054,20.404,21.454,0.098,0.103,0.115,0.15,0.232
2025-12-11 12:30:00+00:00,14.954,20.504,20.454,21.454,0.099,0.103,0.115,0.15,0.232
2025-12-11 13:30:00+00:00,12.804,19.104,20.454,21.454,0.101,0.104,0.115,0.15,0.232
2025-12-11 14:30:00+00:00,11.254,17.854,20.354,21.454,0.102,0.104,0.115,0.15,0.232
2025-12-11 15:30:00+00:00,10.304,16.754,20.154,21.454,0.103,0.104,0.115,0.15,0.232
2025-12-11 16:30:00+00:00,9.604,15.904,19.954,21.454,0.103,0.105,0.115,0.15,0.232
2025-12-11 17:30:00+00:00,9.054,15.204,19.704,21.454,0.104,0.105,0.115,0.15,0.232
2025-12-11 18:30:00+00:00,8.604,14.604,19.404,21.454,0.104,0.106,0.115,0.15,0.232
2025-12-11 19:30:00+00:00,8.354,14.104,19.104,21.454,0.105,0.106,0.115,0.15,0.232
2025-12-11 20:30:00+00:00,7.9040003,13.704,18.804,21.454,0.105,0.106,0.115,0.15,0.232
2025-12-11 21:30:00+00:00,7.504,13.304,18.554,21.454,0.106,0.107,0.115,0.15,0.232
2025-12-11 22:30:00+00:00,7.1540003,12.904,18.254,21.404,0.106,0.107,0.116,0.15,0.232
2025-12-11 23:30:00+00:00,6.804,12.554,17.954,21.404,0.107,0.107,0.116,0.15,0.232
2025-12-12 00:30:00+00:00,7.204,12.254,17.704,21.404,0.107,0.108,0.116,0.15,0.232
2025-12-12 01:30:00+00:00,16.804,12.754,17.454,21.404,0.107,0.108,0.116,0.15,0.232
2025-12-12 02:30:00+00:00,24.104,15.104,17.304,21.354,0.106,0.108,0.116,0.15,0.232
2025-12-12 03:30:00+00:00,27.604,17.804,17.404,21.354,0.104,0.108,0.115,0.15,0.232
2025-12-12 04:30:00+00:00,29.554,20.104,17.654,21.304,0.102,0.108,0.115,0.15,0.232
2025-12-12 05:30:00+00:00,30.704,21.854,18.004,21.304,0.099,0.107,0.115,0.149,0.232
2025-12-12 06:30:00+00:00,31.154,23.204,18.404,21.304,0.098,0.106,0.115,0.149,0.231
2025-12-12 07:30:00+00:00,30.854,24.104,18.854,21.304,0.096,0.105,0.115,0.148,0.231
2025-12-12 08:30:00+00:00,28.654,24.504,19.354,21.304,0.095,0.105,0.115,0.148,0.231
2025-12-12 09:30:00+00:00,24.704,24.204,19.754,21.304,0.096,0.104,0.114,0.147,0.231
2025-12-12 10:30:00+00:00,21.254,23.304,20.054,21.304,0.097,0.104,0.114,0.147,0.231
2025-12-12 11:30:00+00:00,17.704,21.954,20.304,21.304,0.098,0.103,0.114,0.147,0.231
2025-12-12 12:30:00+00:00,15.604,20.604,20.404,21.304,0.099,0.103,0.114,0.147,0.231
2025-12-12 13:30:00+00:00,13.704,19.304,20.404,21.304,0.101,0.104,0.114,0.147,0.231
2025-12-12 14:30:00+00:00,12.054,18.154,20.304,21.304,0.102,0.104,0.115,0.147,0.231
2025-12-12 15:30:00+00:00,11.004,17.104,20.154,21.304,0.103,0.104,0.115,0.148,0.231
2025-12-12 16:30:00+00:00,10.354,16.254,19.954,21.304,0.103,0.105,0.115,0.148,0.231
2025-12-12 17:30:00+00:00,9.754,15.554,19.704,21.304,0.104,0.105,0.115,0.148,0.231
2025-12-12 18:30:00+00:00,9.204,14.954,19.454,21.304,0.104,0.105,0.115,0.148,0.231
2025-12-12 19:30:00+00:00,8.804,14.454,19.154,21.304,0.105,0.106,0.115,0.148,0.231
2025-12-12 20:30:00+00:00,8.754,14.054,18.904,21.304,0.105,0.106,0.115,0.148,0.231
2025-12-12 21:30:00+00:00,8.404,13.704,18.604,21.304,0.106,0.106,0.115,0.148,0.231
2025-12-12 22:30:00+00:00,8.054,13.354,18.354,21.304,0.106,0.107,0.115,0.148,0.231
2025-12-12 23:30:00+00:00,7.854,13.054,18.104,21.304,0.106,0.107,0.115,0.148,0.231
2025-12-13 00:30:00+00:00,8.154,12.804,17.854,21.254,0.107,0.108,0.115,0.148,0.231
2025-12-13 01:30:00+00:00,17.704,13.304,17.604,21.254,0.107,0.108,0.115,0.148,0.231
2025-12-13 02:30:00+00:00,24.904,15.654,17.504,21.254,0.106,0.108,0.115,0.148,0.231
2025-12-13 03:30:00+00:00,27.554,18.354,17.604,21.204,0.103,0.108,0.115,0.148,0.231
2025-12-13 04:30:00+00:00,29.004,20.404,17.854,21.204,0.101,0.107,0.115,0.147,0.23
2025-12-13 05:30:00+00:00,30.604,22.004,18.204,21.204,0.099,0.107,0.114,0.147,0.23
2025-12-13 06:30:00+00:00,30.854,23.254,18.604,21.204,0.098,0.106,0.114,0.146,0.23
2025-12-13 07:30:00+00:00,29.954,24.104,19.004,21.204,0.096,0.105,0.114,0.146,0.23
2025-12-13 08:30:00+00:00,27.504,24.304,19.454,21.204,0.096,0.104,0.114,0.145,0.229
2025-12-13 09:30:00+00:00,24.504,23.954,19.854,21.204,0.096,0.104,0.114,0.145,0.229
2025-12-13 10:30:00+00:00,21.104,23.104,20.154,21.204,0.097,0.104,0.114,0.145,0.229
2025-12-13 11:30:00+00:00,17.754,21.854,20.354,21.204,0.098,0.103,0.114,0.145,0.229
2025-12-13 12:30:00+00:00,16.454,20.604,20.404,21.204,0.1,0.103,0.114,0.145,0.229
2025-12-13 13:30:00+00:00,15.054,19.554,20.404,21.204,0.101,0.104,0.114,0.145,0.229
2025-12-13 14:30:00+00:00,13.554,18.604,20.354,21.204,0.102,0.104,0.114,0.145,0.229
2025-12-13 15:30:00+00:00,12.604,17.704,20.204,21.204,0.103,0.104,0.114,0.145,0.229
2025-12-13 16:30:00+00:00,11.504,16.954,20.054,21.254,0.103,0.104,0.114,0.145,0.229
2025-12-13 17:30:00+00:00,10.604,16.204,19.854,21.254,0.104,0.105,0.114,0.145,0.229
2025-12-13 18:30:00+00:00,9.754,15.554,19.604,21.254,0.104,0.105,0.114,0.145,0.229
2025-12-13 19:30:00+00:00,9.154,14.904,19.354,21.254,0.105,0.106,0.114,0.145,0.229
