folder_name,model_name,dataset,session_timestamp,step,avg_cpu_percent_median,avg_cpu_percent_q1,avg_cpu_percent_q3,avg_memory_mb_median,avg_memory_mb_q1,avg_memory_mb_q3,peak_cpu_percent_median,peak_cpu_percent_q1,peak_cpu_percent_q3
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),agri-data,20260731_161341,task_generator,4.79,4.79,4.79,111.75,111.75,111.75,19,19,19
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),agri-data,20260731_161341,code_generator,5.31,5.31,5.31,111.82,111.82,111.82,23.35,21.22,25.48
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),agri-data,20260731_161341,validator,5.04,5.02,5.06,111.84,111.84,111.84,56.2,47.55,64.85
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),agri-data,20260731_161341,scheduler,6.07,5.75,6.4,111.74,111.73,111.74,22.35,19.12,25.58
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),air-quality,20260731_161341,task_generator,4.73,4.65,4.82,122.72,122.71,122.72,19.2,19.15,19.25
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),air-quality,20260731_161341,code_generator,7.35,5.99,8.7,123.09,122.93,123.25,941.8,480.45,1403.15
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),air-quality,20260731_161341,validator,4.79,4.79,4.79,123.54,123.2,123.88,48.05,40.72,55.38
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),air-quality,20260731_161341,scheduler,6.16,5.94,6.37,123.4,123.04,123.75,18.6,18.25,18.95
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),lab-data,20260731_161341,task_generator,4.85,4.74,4.96,311.75,311.75,311.75,19.05,19.02,19.08
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),lab-data,20260731_161341,code_generator,5.19,5.14,5.24,311.83,311.83,311.83,27.95,27.82,28.08
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),lab-data,20260731_161341,validator,5.08,5.05,5.12,378.48,374.36,382.61,78.25,74.47,82.02
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),lab-data,20260731_161341,scheduler,7.29,6.96,7.62,311.74,311.74,311.74,25.9,24.5,27.3
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),meteo-data,20260731_204159,task_generator,4.82,4.71,4.93,115.68,114.94,116.42,23.45,21.38,25.52
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),meteo-data,20260731_204159,code_generator,5.28,5.22,5.33,116.13,115.62,116.64,26,22.55,29.45
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),meteo-data,20260731_204159,validator,5.62,5.6,5.63,117.62,117.51,117.72,76.05,76.03,76.07
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),meteo-data,20260731_204159,scheduler,4.73,4.27,5.2,116.2,116.13,116.26,14.35,11.92,16.77
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),agri-data,20260731_161341,task_generator,4.79,4.79,4.79,111.75,111.75,111.75,19,19,19
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),agri-data,20260731_161341,code_generator,5.31,5.31,5.31,111.82,111.82,111.82,23.35,21.22,25.48
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),agri-data,20260731_161341,validator,5.04,5.02,5.06,111.84,111.84,111.84,56.2,47.55,64.85
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),agri-data,20260731_161341,scheduler,6.07,5.75,6.4,111.74,111.73,111.74,22.35,19.12,25.58
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),air-quality,20260731_161341,task_generator,4.73,4.65,4.82,122.72,122.71,122.72,19.2,19.15,19.25
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),air-quality,20260731_161341,code_generator,7.35,5.99,8.7,123.09,122.93,123.25,941.8,480.45,1403.15
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),air-quality,20260731_161341,validator,4.79,4.79,4.79,123.54,123.2,123.88,48.05,40.72,55.38
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),air-quality,20260731_161341,scheduler,6.16,5.94,6.37,123.4,123.04,123.75,18.6,18.25,18.95
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),lab-data,20260731_161341,task_generator,4.85,4.74,4.96,311.75,311.75,311.75,19.05,19.02,19.08
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),lab-data,20260731_161341,code_generator,5.19,5.14,5.24,311.83,311.83,311.83,27.95,27.82,28.08
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),lab-data,20260731_161341,validator,5.08,5.05,5.12,378.48,374.36,382.61,78.25,74.47,82.02
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),lab-data,20260731_161341,scheduler,7.29,6.96,7.62,311.74,311.74,311.74,25.9,24.5,27.3
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 2),meteo-data,20260731_204159,task_generator,4.82,4.71,4.93,115.68,114.94,116.42,23.45,21.38,25.52
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 2),meteo-data,20260731_204159,code_generator,5.28,5.22,5.33,116.13,115.62,116.64,26,22.55,29.45
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 2),meteo-data,20260731_204159,validator,5.62,5.6,5.63,117.62,117.51,117.72,76.05,76.03,76.07
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 2),meteo-data,20260731_204159,scheduler,4.73,4.27,5.2,116.2,116.13,116.26,14.35,11.92,16.77
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),agri-data,20260731_161341,task_generator,4.79,4.79,4.79,111.75,111.75,111.75,19,19,19
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),agri-data,20260731_161341,code_generator,5.31,5.31,5.31,111.82,111.82,111.82,23.35,21.22,25.48
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),agri-data,20260731_161341,validator,5.04,5.02,5.06,111.84,111.84,111.84,56.2,47.55,64.85
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),agri-data,20260731_161341,scheduler,6.07,5.75,6.4,111.74,111.73,111.74,22.35,19.12,25.58
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),air-quality,20260731_161341,task_generator,4.73,4.65,4.82,122.72,122.71,122.72,19.2,19.15,19.25
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),air-quality,20260731_161341,code_generator,7.35,5.99,8.7,123.09,122.93,123.25,941.8,480.45,1403.15
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),air-quality,20260731_161341,validator,4.79,4.79,4.79,123.54,123.2,123.88,48.05,40.72,55.38
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),air-quality,20260731_161341,scheduler,6.16,5.94,6.37,123.4,123.04,123.75,18.6,18.25,18.95
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),lab-data,20260731_161341,task_generator,4.85,4.74,4.96,311.75,311.75,311.75,19.05,19.02,19.08
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),lab-data,20260731_161341,code_generator,5.19,5.14,5.24,311.83,311.83,311.83,27.95,27.82,28.08
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),lab-data,20260731_161341,validator,5.08,5.05,5.12,378.48,374.36,382.61,78.25,74.47,82.02
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),lab-data,20260731_161341,scheduler,7.29,6.96,7.62,311.74,311.74,311.74,25.9,24.5,27.3
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 2),meteo-data,20260731_204159,task_generator,4.82,4.71,4.93,115.68,114.94,116.42,23.45,21.38,25.52
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 2),meteo-data,20260731_204159,code_generator,5.28,5.22,5.33,116.13,115.62,116.64,26,22.55,29.45
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 2),meteo-data,20260731_204159,validator,5.62,5.6,5.63,117.62,117.51,117.72,76.05,76.03,76.07
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 2),meteo-data,20260731_204159,scheduler,4.73,4.27,5.2,116.2,116.13,116.26,14.35,11.92,16.77
