folder_name,model_name,val_model,dataset,session_timestamp,step,latency_median,latency_q1,latency_q3,prompt_tokens_median,prompt_tokens_q1,prompt_tokens_q3,completion_tokens_median,completion_tokens_q1,completion_tokens_q3,total_tokens_median,total_tokens_q1,total_tokens_q3,prompt_tokens_per_sec_median,prompt_tokens_per_sec_q1,prompt_tokens_per_sec_q3,completion_tokens_per_sec_median,completion_tokens_per_sec_q1,completion_tokens_per_sec_q3,total_tokens_per_sec_median,total_tokens_per_sec_q1,total_tokens_per_sec_q3,avg_cpu_percent_median,avg_cpu_percent_q1,avg_cpu_percent_q3,peak_cpu_percent_median,peak_cpu_percent_q1,peak_cpu_percent_q3,avg_memory_mb_median,avg_memory_mb_q1,avg_memory_mb_q3
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",agri-data,20260731_161341,task_generator,23.39,17.05,29.73,3553.0,3553.0,3553.0,1293.0,1187.5,1398.5,4846.0,4740.5,4951.5,215.12,156.81,273.44,85.21,57.6,112.82,300.33,214.41,386.26,4.79,4.79,4.79,19.0,19.0,19.0,111.75,111.75,111.75
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",agri-data,20260731_161341,code_generator,387.85,293.81,481.89,96549.5,91845.25,101253.75,135547.0,121142.5,149951.5,232096.5,212987.75,251205.25,310.1,247.04,373.16,409.85,347.61,472.08,719.95,594.65,845.24,5.31,5.31,5.31,23.35,21.22,25.48,111.82,111.82,111.82
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",agri-data,20260731_161341,validator,31.96,31.67,32.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,5.02,5.06,56.2,47.55,64.85,111.84,111.84,111.84
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",agri-data,20260731_161341,scheduler,0.53,0.53,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07,5.75,6.4,22.35,19.12,25.58,111.74,111.73,111.74
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",air-quality,20260731_161341,task_generator,328.75,176.38,481.13,2369.0,2369.0,2369.0,8901.0,5159.5,12642.5,11270.0,7528.5,15011.5,51.22,27.48,74.96,42.47,34.17,50.77,93.69,61.65,125.73,4.73,4.65,4.82,19.2,19.15,19.25,122.72,122.71,122.72
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",air-quality,20260731_161341,code_generator,516.39,486.63,546.15,75288.0,68985.5,81590.5,145137.0,132856.5,157417.5,220425.0,201842.0,239008.0,144.91,141.06,148.76,279.29,271.6,286.98,424.2,412.66,435.74,7.35,5.99,8.7,941.8,480.45,1403.15,123.09,122.93,123.25
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",air-quality,20260731_161341,validator,25.78,24.33,27.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79,4.79,4.79,48.05,40.72,55.38,123.54,123.2,123.88
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",air-quality,20260731_161341,scheduler,0.54,0.54,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.16,5.94,6.37,18.6,18.25,18.95,123.4,123.04,123.75
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",lab-data,20260731_161341,task_generator,23.04,16.28,29.81,2332.0,2332.0,2332.0,1241.5,999.75,1483.25,3573.5,3331.75,3815.25,154.48,109.12,199.83,63.43,55.3,71.56,217.91,164.42,271.4,4.85,4.74,4.96,19.05,19.02,19.08,311.75,311.75,311.75
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",lab-data,20260731_161341,code_generator,365.74,307.81,423.66,88199.0,86615.0,89783.0,165690.5,158922.25,172458.75,253889.5,248705.25,259073.75,271.1,223.83,318.36,490.52,431.34,549.7,761.62,655.17,868.06,5.19,5.14,5.24,27.95,27.82,28.08,311.83,311.83,311.83
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",lab-data,20260731_161341,validator,75.1,68.32,81.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,5.05,5.12,78.25,74.47,82.02,378.48,374.36,382.61
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,nvidia/nemotron-3-ultra-550b-a55b:free",lab-data,20260731_161341,scheduler,0.53,0.53,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29,6.96,7.62,25.9,24.5,27.3,311.74,311.74,311.74
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),,meteo-data,20260731_161341,task_generator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),,meteo-data,20260731_161341,code_generator,2726.08,0.0,0.0,18591.0,0.0,0.0,94695.0,0.0,0.0,113286.0,0.0,0.0,6.82,0.0,0.0,34.74,0.0,0.0,41.56,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1914.83,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),,meteo-data,20260731_161341,validator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),,meteo-data,20260731_161341,scheduler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
