script,dataset,avg_cpu,peak_cpu,avg_mem,peak_mem
Crop Suitability Score from NPK and Soil Moisture.py,agri-data,0.0,0.0,1.99609375,1.99609375
Crop Suitability Scoring from NPK and Soil Moisture.py,agri-data,0.0,0.0,1.99609375,1.99609375
Fertilizer Overuse Indicator.py,agri-data,0.0,0.0,2.00390625,2.00390625
Frost Risk Early Warning.py,agri-data,0.0,0.0,1.98046875,1.98046875
Frost Risk Alert.py,agri-data,0.0,0.0,1.99609375,1.99609375
Growth-Stage Specific Environmental Check.py,agri-data,0.0,0.0,1.97265625,1.97265625
Frost Risk Flag.py,agri-data,0.0,0.0,1.984375,1.984375
Heat Stress Alert via Temperature-Humidity Index.py,agri-data,0.0,0.0,1.99609375,1.99609375
Pest Pressure Anomaly Detection.py,agri-data,0.0,0.0,2.01953125,2.01953125
Nutrient Balance Ratio Checker.py,agri-data,0.0,0.0,2.04296875,2.04296875
Pest Pressure Growth-Stage Risk Flag.py,agri-data,0.0,0.0,1.97265625,1.97265625
Pest Pressure Spike Detection.py,agri-data,0.0,0.0,1.9609375,1.9609375
Pest Pressure Risk Classification.py,agri-data,0.0,0.0,1.99609375,1.99609375
Photosynthesis Potential Monitoring.py,agri-data,0.0,0.0,1.95703125,1.95703125
Soil Fertility Index Monitor.py,agri-data,0.0,0.0,1.9765625,1.9765625
Soil Fertility Index Snapshot.py,agri-data,0.0,0.0,1.953125,1.953125
Soil Moisture Deficit Alert.py,agri-data,0.0,0.0,2.01953125,2.01953125
Sunlight Adequacy per Plant.py,agri-data,0.0,0.0,2.01953125,2.01953125
Water Availability Index Trend.py,agri-data,0.0,0.0,2.0234375,2.0234375
Water Usage Efficiency Alert.py,agri-data,0.0,0.0,1.98828125,1.98828125
Water Usage Efficiency Trend Alert.py,agri-data,0.0,0.0,1.97265625,1.97265625
Analyze Crop Density Impact.py,agri-data,0.0,0.0,1.99609375,1.99609375
Water Usage Efficiency Monitoring.py,agri-data,0.0,0.0,1.9609375,1.9609375
Analyze Irrigation Frequency.py,agri-data,0.0,0.0,1.99609375,1.99609375
AnalyzeFertilizerUsage.py,agri-data,0.0,0.0,1.99609375,1.99609375
Analyze_Photosynthesis_Potential.py,agri-data,0.0,0.0,1.98046875,1.98046875
Assess Organic Matter Content.py,agri-data,0.0,0.0,1.9921875,1.9921875
Assess Pest Pressure Levels.py,agri-data,0.0,0.0,2.0234375,2.0234375
AssessPestPressure.py,agri-data,0.0,0.0,1.99609375,1.99609375
Estimate Photosynthesis Potential.py,agri-data,0.0,0.0,1.9609375,1.9609375
Evaluate Crop Growth Stage.py,agri-data,0.0,0.0,1.99609375,1.99609375
Evaluate Pest Pressure Levels.py,agri-data,0.0,0.0,1.95703125,1.95703125
EvaluateCropDensityImpact.py,agri-data,0.0,0.0,1.9609375,1.9609375
Evaluate_Crop_Health_Classification.py,agri-data,0.0,0.0,1.96484375,1.96484375
Monitor Soil Moisture Levels.py,agri-data,0.0,0.0,1.99609375,1.99609375
MonitorIrrigationFrequency.py,agri-data,0.0,0.0,1.98828125,1.98828125
Frost Risk Monitor.py,agri-data,0.0,0.0,1.99609375,1.99609375
