script,dataset,median_cpu,peak_cpu,median_mem,peak_mem,exec_time
Soil Fertility Status Check.py,agri-data,0.0,24.15,10.1484375,100.78125,0.1292444619757589
Heat Stress Detection.py,agri-data,0.0,24.55,11.03125,12.765625,0.16305004799505696
Low Photosynthesis Potential Flag.py,agri-data,0.0,29.825,11.0078125,11.484375,0.1990198010171298
Water Availability Status Check.py,agri-data,0.0,24.575,11.171875,11.671875,0.22423290699953213
Frost Risk and Temperature Validation.py,agri-data,0.0,24.275,11.34375,12.265625,0.21298092199140228
Heat Stress Detection via THI.py,agri-data,0.0,24.5,11.09375,11.65625,0.2454831069917418
Water Availability Warning.py,agri-data,24.025,24.4,10.75,11.65625,0.07271969798603095
Frost Risk Assessment.py,agri-data,0.0,24.275,11.328125,102.078125,0.18586854101158679
Soil Fertility Index Threshold Alert.py,agri-data,0.0,24.525,10.828125,11.671875,0.13812272300128825
Water Usage Efficiency Monitor.py,agri-data,0.0,24.2,11.0078125,12.421875,0.22968706401297823
Soil Moisture Deviation Monitor.py,agri-data,0.0,24.575,11.09375,12.15625,0.2346293099981267
Soil Fertility Index Alert.py,agri-data,12.1,31.1,10.171875,11.59375,0.11391668097348884
Wind Turbulence Index Calculator.py,meteo-data,6.3625,24.525,11.4765625,13.15625,0.5128800889942795
Nutrient Balance Status Check.py,agri-data,16.625,24.425,10.875,11.671875,0.1495247099956032
Nutrient Imbalance Detector.py,agri-data,0.0,24.4,11.671875,14.265625,0.2751836590177845
Nutrient Balance Ratio Validator.py,agri-data,6.7375,24.425,11.109375,11.609375,0.17134443399845622
Irrigation Necessity Trigger.py,agri-data,6.4625,24.125,11.734375,102.328125,0.17812767700525
Soil Fertility Alert.py,agri-data,0.0,24.425,9.75,11.484375,0.1749182049825322
Water Efficiency Tracker.py,agri-data,15.3,24.35,12.96875,102.328125,0.18368205899605528
Heat Stress Threshold Alert.py,agri-data,18.7,23.675,11.03125,11.046875,0.11360575398430228
Nutrient Balance Ratio Deviation Check.py,agri-data,21.012500000000003,24.525,10.03125,11.453125,0.12094514901400544
Water Availability and Moisture Correlation.py,agri-data,4.6125,24.5,10.984375,11.6875,0.179812635993585
Heat Stress Indicator.py,agri-data,0.0,24.525,10.53125,12.421875,0.19277937698643655
Nutrient Imbalance Check.py,agri-data,13.075,24.275,10.90625,11.625,0.14842833002330735
Frost Risk Monitor.py,agri-data,12.212499999999999,24.65,11.0078125,11.953125,0.18934599601197988
EvaluateCropDensityImpact.py,agri-data,13.825,24.475,11.078125,12.453125,0.1888138989743311
Evaluate Pest Pressure Levels.py,agri-data,5.8375,24.675,10.9921875,11.96875,0.20219805001397617
Estimate Photosynthesis Potential.py,agri-data,10.1,24.375,10.984375,11.0625,0.17454144297516905
Analyze Crop Density Impact.py,agri-data,0.0,24.25,11.140625,102.40625,0.18206597000244074
Evaluate_Crop_Health_Classification.py,agri-data,8.15,24.525,11.328125,13.15625,0.18550142599269748
Assess Organic Matter Content.py,agri-data,0.0,34.125,10.6015625,11.03125,0.16909517400199547
Analyze Irrigation Frequency.py,agri-data,14.25,24.375,11.140625,11.75,0.19813755300128832
AssessPestPressure.py,agri-data,10.75,24.575,10.953125,11.953125,0.183029534004163
AnalyzeFertilizerUsage.py,agri-data,14.3,24.45,10.3125,12.28125,0.18468225200194865
Monitor Soil Moisture Levels.py,agri-data,14.15,24.225,10.96875,102.4375,0.1714542310219258
Analyze_Photosynthesis_Potential.py,agri-data,13.525,24.55,11.015625,102.4375,0.1887608620163519
Evaluate Crop Growth Stage.py,agri-data,6.2625,24.425,11.109375,12.546875,0.19648692701593973
MonitorIrrigationFrequency.py,agri-data,0.0,24.45,10.9375,11.890625,0.2016349539917428
Assess Pest Pressure Levels.py,agri-data,10.575,24.45,9.828125,11.0625,0.18053771599079482
Frost Risk Early Warning.py,agri-data,15.9625,24.45,10.953125,12.28125,0.162208132998785
Soil Moisture Deficit Alert.py,agri-data,0.0,24.45,11.796875,13.625,0.19684341200627387
Crop Suitability Score from NPK and Soil Moisture.py,agri-data,0.0,24.45,11.3828125,12.90625,0.20128339400980622
Photosynthesis Potential Monitoring.py,agri-data,12.575,24.4,12.421875,14.21875,0.22142764201271348
Sunlight Adequacy per Plant.py,agri-data,14.75,24.3,12.359375,13.015625,0.20051699900068343
Water Usage Efficiency Monitoring.py,agri-data,7.9625,24.575,12.546875,102.453125,0.20231755197164603
Pest Pressure Anomaly Detection.py,agri-data,14.025,24.425,11.234375,102.453125,0.19428024199442007
Soil Fertility Index Snapshot.py,agri-data,6.3125,24.2,11.921875,102.453125,0.24141216499265283
