time_offset_sec,cpu_percent,memory_rss_mb
0.0,108.4,118.87
0.1,99.3,118.91
0.2,28.5,118.92
0.3,13.3,118.92
0.4,13.4,118.92
0.5,13.3,118.92
0.6,24.3,118.92
0.7,12.1,118.92
0.8,12.5,118.92
0.9,13.0,118.92
1.0,12.8,118.92
1.1,13.6,118.92
1.2,13.5,118.92
1.3,13.1,118.92
1.4,0.0,118.92
1.5,13.4,118.92
1.6,13.0,118.92
1.7,13.0,118.92
1.8,0.0,118.92
1.9,25.2,118.92
2.0,12.3,118.92
2.1,14.4,118.92
2.2,26.1,118.92
2.3,13.0,118.92
2.4,13.1,118.92
2.5,13.6,118.92
2.6,13.4,118.92
2.7,13.6,118.92
2.8,13.4,118.92
2.9,13.5,118.92
3.0,13.5,118.92
3.1,13.6,118.92
3.2,13.7,118.92
3.3,0.0,118.92
3.4,13.7,118.92
3.5,12.9,118.92
3.6,13.5,118.92
3.7,14.1,118.92
3.8,13.7,118.92
3.9,13.5,118.92
4.0,13.6,118.92
4.1,25.6,118.92
4.2,25.4,118.92
4.3,13.3,118.92
4.4,13.6,118.92
4.5,13.7,118.92
4.6,26.8,118.92
4.7,98.0,118.92
4.8,95.0,118.91
4.9,43.1,118.9
5.0,13.2,118.9
5.1,13.6,118.9
5.2,25.3,118.9
5.3,0.0,118.9
5.4,25.5,118.9
5.5,13.6,118.9
5.6,13.7,118.9
5.7,12.9,118.9
5.8,26.8,118.9
5.9,13.5,118.91
6.0,13.4,118.91
6.1,13.4,118.91
6.2,13.5,118.91
6.3,13.2,118.91
6.4,13.4,118.91
6.5,13.3,118.91
6.6,24.9,118.91
6.7,24.5,118.91
6.8,0.0,118.91
6.9,0.0,118.91
7.0,12.5,118.91
7.1,13.3,118.91
7.2,13.4,118.91
7.3,0.0,118.91
7.4,13.6,118.91
7.5,13.8,118.91
7.6,12.5,118.91
7.7,13.4,118.91
7.8,13.5,118.91
7.9,27.0,118.91
8.0,13.5,118.91
8.1,13.6,118.91
8.2,13.5,118.91
8.3,13.7,118.91
8.4,13.5,118.91
8.5,0.0,118.91
8.6,12.8,118.91
8.7,11.7,118.91
8.8,13.5,118.91
8.9,13.2,118.91
9.0,24.9,118.91
9.1,13.5,118.91
9.2,13.5,118.91
9.3,24.7,118.91
9.4,25.0,118.91
9.5,13.3,118.91
9.6,13.2,118.91
9.7,13.5,118.91
9.8,13.6,118.91
9.9,23.9,118.91
10.0,13.6,118.91
10.1,13.5,118.91
10.2,13.6,118.91
10.3,12.3,118.91
10.4,11.3,118.91
10.5,12.7,118.91
10.6,13.4,118.91
10.7,12.9,118.91
10.8,12.3,118.91
10.9,13.7,118.91
11.0,25.1,118.91
11.1,13.4,118.91
11.2,27.3,130.29
11.3,101.5,118.91
11.4,96.9,118.97
11.5,112.6,118.99
11.6,0.0,119.0
11.7,13.2,119.0
11.8,0.0,119.0
11.9,13.1,119.0
12.0,13.4,119.0
12.1,12.9,119.0
12.2,13.6,119.0
12.3,13.2,119.0
12.4,13.3,119.0
12.5,13.0,119.0
12.6,0.0,119.0
12.7,13.6,119.03
12.8,13.4,119.03
12.9,13.7,119.03
13.0,14.1,119.03
13.1,14.0,119.03
13.2,13.5,119.03
13.3,12.9,119.03
13.4,13.5,119.03
13.5,13.5,119.03
13.6,13.6,119.03
13.7,0.0,119.03
13.8,13.7,119.03
13.9,13.5,119.03
14.0,26.3,119.03
14.1,13.6,119.03
14.2,26.2,119.03
14.3,13.6,119.03
14.4,25.5,119.03
14.5,13.5,119.03
14.6,13.3,119.03
14.7,13.7,119.03
14.8,25.2,119.03
14.9,25.1,119.03
15.0,13.3,119.03
15.1,13.7,119.03
15.2,13.0,119.03
15.3,12.4,119.03
15.4,13.3,119.03
15.5,13.6,119.03
15.6,0.0,119.03
