time_offset_sec,cpu_percent,memory_rss_mb
0.0,0.0,82.12
0.1,86.0,82.49
0.2,45.0,82.65
0.3,13.9,82.69
0.4,14.0,82.69
0.5,15.0,82.69
0.6,13.7,82.83
0.7,14.7,83.23
0.8,14.0,83.24
0.9,14.2,83.24
1.0,14.2,83.24
1.1,14.2,83.24
1.2,14.2,83.24
1.3,14.1,83.24
1.4,0.0,83.24
1.5,0.0,83.24
1.6,0.0,83.24
1.7,0.0,83.24
1.8,0.0,83.24
1.9,14.1,83.24
2.0,14.0,83.24
2.1,0.0,83.24
2.2,0.0,83.24
2.3,0.0,83.24
2.4,0.0,83.24
2.5,0.0,83.24
2.6,0.0,83.24
2.7,0.0,83.24
2.8,14.0,83.24
2.9,14.1,83.25
3.0,14.2,83.25
3.1,14.3,83.25
3.2,14.2,83.25
3.3,14.0,83.25
3.4,14.2,83.25
3.5,0.0,83.25
3.6,0.0,83.25
3.7,0.0,83.25
3.8,0.0,83.25
3.9,0.0,83.25
4.0,0.0,83.25
4.1,14.0,83.25
4.2,14.2,83.25
4.3,14.1,83.25
4.4,14.2,83.25
4.5,14.2,83.25
4.6,0.0,83.25
4.7,0.0,83.25
4.8,0.0,83.25
4.9,13.9,83.25
5.0,14.2,83.25
5.1,0.0,83.25
5.2,0.0,83.25
5.3,14.1,83.25
5.4,14.2,83.25
5.5,14.1,83.25
5.6,14.0,83.25
5.7,14.0,83.25
5.8,14.0,83.25
5.9,0.0,83.25
6.0,14.0,83.25
6.1,14.2,83.25
6.2,14.2,83.25
6.3,14.2,83.25
6.4,14.3,83.25
6.5,14.0,83.25
6.6,14.1,83.25
6.7,14.0,83.25
6.8,14.2,83.25
6.9,14.3,83.25
7.0,14.1,83.25
7.1,0.0,83.25
7.2,0.0,83.25
7.3,0.0,83.25
7.4,0.0,83.25
7.5,0.0,83.25
7.6,0.0,83.25
7.7,14.1,83.25
7.8,14.2,83.25
7.9,0.0,83.25
8.0,0.0,83.25
8.1,0.0,83.25
8.2,0.0,83.25
8.3,0.0,83.25
8.4,0.0,83.25
8.5,0.0,83.25
8.6,14.0,83.25
8.7,14.2,83.25
8.8,0.0,83.25
8.9,13.9,83.25
9.0,0.0,83.25
9.1,14.2,83.25
9.2,14.2,83.25
9.3,0.0,83.25
9.4,0.0,83.25
9.5,0.0,83.25
9.6,14.0,83.25
9.7,14.2,83.25
9.8,14.2,83.25
9.9,0.0,83.25
10.0,14.2,83.25
10.1,14.2,83.25
10.2,14.1,83.25
10.3,14.5,83.25
10.4,14.2,83.25
10.5,14.0,83.25
10.6,0.0,83.25
10.7,0.0,83.25
10.8,0.0,83.25
10.9,0.0,83.25
11.0,14.1,83.25
11.1,14.2,83.25
11.2,14.2,83.25
11.3,0.0,83.25
11.4,14.2,83.25
11.5,14.1,83.25
11.6,14.2,83.25
11.7,14.2,83.25
11.8,14.0,83.25
11.9,14.3,83.25
12.0,14.2,83.25
12.1,0.0,83.25
12.2,0.0,83.25
12.3,0.0,83.25
12.4,0.0,83.25
12.5,0.0,83.25
12.6,0.0,83.25
12.7,0.0,83.25
12.8,14.2,83.25
12.9,14.3,83.25
13.0,14.0,83.25
13.1,14.2,83.25
13.2,14.3,83.25
13.3,14.2,83.25
13.4,14.3,83.25
13.5,0.0,83.25
13.6,14.0,83.25
13.7,14.1,83.25
13.8,0.0,83.25
13.9,0.0,83.25
14.0,0.0,83.25
14.1,0.0,83.25
14.2,0.0,83.25
14.3,14.3,83.25
14.4,14.0,83.25
14.5,14.0,83.25
14.6,14.5,83.25
14.7,0.0,83.25
14.8,14.1,83.25
14.9,14.2,83.25
15.0,13.8,83.25
15.1,0.0,83.25
15.2,0.0,83.25
15.3,0.0,83.25
15.4,14.0,83.25
15.5,14.2,83.25
15.6,14.3,83.25
15.7,14.3,83.25
15.8,14.2,83.25
15.9,14.0,83.25
16.0,14.2,83.25
16.1,14.0,83.25
16.2,14.2,83.25
16.3,14.1,83.25
16.4,0.0,83.25
16.5,0.0,83.25
16.6,0.0,83.25
16.7,0.0,83.25
16.8,0.0,83.25
16.9,0.0,83.25
