time_offset_sec,cpu_percent,memory_rss_mb
0.0,77.6,41.1
0.1,102.9,47.33
0.2,58.8,50.67
0.3,88.6,54.4
0.4,58.2,60.28
0.5,103.9,62.7
0.6,58.6,62.98
0.7,0.0,62.99
0.8,13.8,62.99
0.9,0.0,62.99
1.0,12.2,63.86
1.1,102.6,68.63
1.2,87.7,73.81
1.3,59.1,83.42
1.4,29.6,83.81
1.5,14.7,83.91
1.6,14.4,84.44
1.7,14.1,84.44
1.8,14.5,84.44
1.9,13.7,84.44
2.0,14.2,84.44
2.1,14.0,84.44
2.2,14.4,84.44
2.3,13.9,84.44
2.4,0.0,84.44
2.5,0.0,84.44
2.6,0.0,84.44
2.7,0.0,84.44
2.8,0.0,84.44
2.9,13.2,84.49
3.0,0.0,84.49
3.1,24.7,84.49
3.2,13.6,84.49
3.3,13.7,84.49
3.4,12.5,84.49
3.5,0.0,84.49
3.6,13.0,84.49
3.7,0.0,84.49
3.8,13.1,84.49
3.9,24.7,84.49
4.0,26.4,84.49
4.1,13.4,84.49
4.2,13.3,84.49
4.3,0.0,84.49
4.4,12.6,84.49
4.5,26.4,84.49
4.6,14.3,84.49
4.7,12.7,84.49
4.8,13.2,84.49
4.9,13.3,84.49
5.0,13.5,84.49
5.1,26.2,84.49
5.2,12.9,84.49
5.3,12.9,84.49
5.4,12.8,84.49
5.5,13.5,84.49
5.6,13.5,84.49
5.7,14.2,84.49
5.8,25.7,84.49
5.9,13.5,84.49
6.0,13.4,84.49
6.1,13.4,84.49
6.2,25.9,84.49
6.3,26.2,84.66
6.4,13.5,84.67
6.5,13.4,84.67
6.6,12.4,84.67
6.7,0.0,84.7
6.8,94.9,84.77
6.9,97.4,84.82
7.0,107.9,84.93
7.1,116.6,85.2
7.2,41.6,85.24
7.3,14.0,85.25
7.4,13.4,85.25
7.5,0.0,85.25
7.6,36.4,85.64
7.7,37.4,86.23
7.8,13.3,86.24
7.9,13.4,86.24
8.0,25.4,86.24
8.1,13.4,86.24
8.2,12.7,86.24
8.3,13.3,86.24
8.4,12.9,86.24
8.5,12.8,86.24
8.6,13.9,86.24
8.7,12.7,86.28
8.8,28.4,86.35
8.9,0.0,86.35
9.0,24.2,86.36
9.1,13.6,86.36
9.2,26.6,86.36
9.3,13.1,86.36
9.4,0.0,86.36
9.5,13.4,86.36
9.6,13.4,86.36
9.7,13.6,86.36
9.8,26.2,86.36
9.9,13.3,86.38
10.0,13.1,86.39
10.1,13.6,86.39
10.2,12.4,86.39
10.3,13.8,86.39
10.4,13.6,86.39
10.5,22.9,86.39
10.6,13.8,86.39
10.7,13.5,86.39
10.8,13.0,86.39
10.9,13.4,86.39
11.0,14.1,86.39
11.1,0.0,86.39
11.2,13.4,86.39
11.3,0.0,86.39
11.4,0.0,86.39
11.5,24.7,86.39
11.6,13.7,86.39
11.7,25.6,86.39
11.8,13.1,86.39
11.9,13.2,86.39
12.0,26.2,86.39
12.1,13.2,86.39
12.2,12.7,86.39
12.3,27.5,86.39
12.4,0.0,86.39
12.5,14.2,86.39
12.6,13.4,86.39
12.7,26.7,86.4
12.8,13.4,86.4
12.9,26.9,86.4
13.0,13.8,86.4
13.1,0.0,86.4
13.2,12.9,86.4
13.3,13.5,86.4
13.4,12.9,86.4
13.5,23.9,86.4
13.6,13.3,86.4
13.7,13.5,86.4
13.8,13.7,86.4
13.9,12.3,86.4
14.0,11.8,86.4
14.1,0.0,86.4
14.2,13.7,86.4
14.3,13.5,86.4
14.4,13.0,86.4
14.5,13.6,86.4
14.6,0.0,86.4
14.7,12.5,86.4
14.8,13.7,86.4
14.9,13.6,86.4
15.0,0.0,86.4
15.1,0.0,86.4
15.2,13.4,86.4
15.3,40.1,86.49
15.4,34.1,86.57
15.5,12.8,86.58
15.6,27.0,86.63
15.7,27.9,86.63
15.8,13.0,86.63
15.9,12.9,86.63
16.0,24.7,86.63
16.1,0.0,86.65
16.2,0.0,86.65
16.3,0.0,86.65
16.4,0.0,86.65
16.5,13.3,86.65
16.6,14.0,86.65
16.7,25.5,86.65
16.8,25.6,86.65
16.9,12.8,86.66
17.0,0.0,86.67
17.1,14.2,86.67
17.2,13.2,86.67
17.3,12.5,86.67
17.4,12.6,86.67
17.5,0.0,86.67
17.6,0.0,86.67
17.7,13.8,86.67
17.8,14.2,86.67
17.9,14.2,86.68
18.0,13.5,86.68
18.1,13.5,86.68
18.2,0.0,86.68
18.3,13.4,86.68
18.4,26.0,86.68
18.5,13.5,86.68
18.6,0.0,86.68
18.7,0.0,86.68
18.8,0.0,86.68
18.9,13.5,86.68
19.0,13.4,86.68
19.1,13.3,86.68
19.2,13.3,86.68
19.3,25.4,86.68
19.4,12.4,86.68
19.5,13.3,86.68
19.6,0.0,86.68
19.7,13.3,86.68
19.8,13.3,86.68
19.9,13.5,86.68
20.0,12.8,86.68
20.1,13.2,86.68
20.2,13.2,86.68
20.3,13.2,86.68
20.4,26.9,86.68
20.5,26.9,86.74
20.6,23.6,86.75
20.7,13.3,86.75
20.8,13.1,86.75
20.9,13.6,86.75
21.0,13.0,86.75
21.1,12.9,86.75
21.2,12.5,86.75
21.3,13.9,86.75
21.4,13.7,86.75
21.5,13.7,86.75
21.6,0.0,86.75
21.7,13.4,86.75
21.8,25.0,86.75
21.9,26.2,86.75
22.0,13.5,86.76
22.1,25.3,86.76
22.2,12.7,86.76
22.3,13.4,86.76
22.4,0.0,86.76
22.5,14.3,86.76
22.6,28.4,86.76
22.7,13.0,86.76
22.8,13.3,86.76
22.9,14.3,86.76
23.0,14.3,86.76
23.1,27.2,86.71
23.2,0.0,86.71
23.3,0.0,86.71
23.4,13.8,86.71
23.5,13.1,86.71
23.6,0.0,86.71
23.7,12.8,86.71
23.8,13.4,86.71
23.9,0.0,86.71
24.0,0.0,86.71
24.1,0.0,86.71
24.2,13.1,86.71
24.3,25.4,86.64
24.4,36.8,86.64
24.5,26.0,86.64
24.6,14.4,86.64
24.7,14.2,86.64
24.8,13.9,86.64
24.9,13.5,86.64
25.0,0.0,86.64
25.1,12.7,86.64
25.2,13.0,86.64
25.3,25.9,86.64
25.4,13.0,86.64
25.5,12.8,86.64
25.6,25.1,86.56
25.7,25.9,86.56
25.8,25.4,86.56
25.9,12.1,86.56
26.0,14.1,86.56
26.1,13.8,86.56
26.2,13.8,86.56
26.3,13.8,86.56
26.4,13.1,86.56
26.5,12.9,86.56
26.6,13.3,86.56
26.7,13.7,86.56
26.8,25.8,86.56
26.9,0.0,86.56
27.0,12.8,86.56
27.1,12.5,86.56
27.2,0.0,86.56
27.3,12.5,86.56
27.4,0.0,86.57
27.5,13.0,86.57
27.6,14.3,86.57
27.7,13.5,86.57
27.8,0.0,86.57
27.9,13.9,86.57
28.0,13.1,86.57
28.1,13.6,86.57
28.2,13.1,86.57
28.3,13.5,86.57
28.4,25.5,86.57
28.5,13.7,86.57
28.6,24.7,86.57
28.7,26.1,86.57
28.8,13.4,86.57
28.9,13.4,86.57
29.0,13.4,86.57
29.1,25.7,86.57
29.2,0.0,86.57
29.3,13.8,86.57
29.4,24.3,86.57
29.5,13.7,86.57
29.6,13.4,86.57
29.7,12.4,86.57
29.8,25.4,86.57
29.9,13.3,86.57
30.0,12.6,86.57
30.1,14.3,86.57
30.2,26.6,86.57
30.3,13.5,86.57
30.4,13.3,86.57
30.5,12.6,86.57
30.6,13.0,86.57
30.7,0.0,86.57
30.8,12.5,86.57
30.9,12.6,86.57
31.0,13.0,86.57
31.1,13.7,86.57
31.2,13.8,86.57
31.3,13.0,86.57
31.4,13.7,86.57
31.5,0.0,86.57
31.6,0.0,86.57
31.7,0.0,86.49
31.8,12.9,86.49
31.9,0.0,86.49
32.0,12.5,86.49
32.1,12.8,86.49
32.2,72.1,86.62
32.3,83.9,86.67
32.4,57.1,86.79
32.5,0.0,86.81
32.6,12.7,86.81
32.7,13.2,86.81
32.8,22.7,86.91
32.9,137.4,88.2
33.0,394.8,89.04
33.1,398.3,89.88
33.2,437.1,90.63
33.3,84.7,91.34
33.4,0.0,91.43
33.5,12.9,91.43
33.6,13.6,91.43
33.7,13.7,91.43
33.8,13.2,91.43
33.9,12.3,91.43
34.0,0.0,91.43
34.1,12.4,91.43
34.2,24.6,91.43
34.3,13.7,91.43
34.4,25.9,91.43
34.5,12.9,91.43
34.6,13.3,91.46
34.7,25.6,91.46
34.8,13.1,91.46
