time_offset_sec,cpu_percent,memory_rss_mb
0.0,0.0,97.73
0.1,28.0,97.78
0.2,0.0,97.82
0.3,0.0,97.82
0.4,0.0,97.82
0.5,26.5,111.95
0.6,109.6,124.52
0.7,90.0,124.5
0.8,106.5,124.5
0.9,99.9,124.5
1.0,100.3,124.5
1.1,101.0,124.5
1.2,102.0,124.5
1.3,90.3,124.5
1.4,106.8,124.5
1.5,102.4,124.5
1.6,97.6,124.5
1.7,96.1,124.5
1.8,102.2,124.5
1.9,96.0,124.5
2.0,106.0,124.5
2.1,96.9,124.5
2.2,102.8,124.5
2.3,86.8,124.5
2.4,98.7,124.5
2.5,95.6,124.5
2.6,108.7,124.5
2.7,83.3,124.5
2.8,90.3,124.5
2.9,98.2,124.5
3.0,106.6,124.5
3.1,100.1,124.5
3.2,96.4,124.5
3.3,85.3,124.5
3.4,90.7,124.5
3.5,104.9,124.5
3.6,94.2,124.5
3.7,65.6,124.5
3.8,97.0,124.5
3.9,103.5,124.5
4.0,100.1,124.5
4.1,98.3,124.5
4.2,98.2,124.5
4.3,108.3,124.5
4.4,63.5,124.5
4.5,107.2,124.5
4.6,101.3,124.5
4.7,99.9,124.5
4.8,99.9,124.5
4.9,96.5,124.5
5.0,98.0,124.5
5.1,92.9,124.5
5.2,91.9,124.5
5.3,103.7,124.5
5.4,88.5,124.5
5.5,88.9,124.5
5.6,86.3,124.5
5.7,102.3,124.5
5.8,83.2,124.5
5.9,97.9,124.5
6.0,76.9,124.5
6.1,107.5,124.5
6.2,100.9,124.5
6.3,95.9,124.5
6.4,91.2,124.5
6.5,99.2,124.5
6.6,103.9,124.5
6.7,92.7,124.5
6.8,97.5,124.5
6.9,100.0,124.5
7.0,97.5,124.5
7.1,89.7,124.5
7.2,103.5,124.5
7.3,96.2,124.5
7.4,107.7,124.5
7.5,96.2,124.5
7.6,96.5,124.5
7.7,99.7,124.5
7.8,85.8,124.5
7.9,102.4,124.5
8.0,99.1,124.5
8.1,108.8,124.5
8.2,98.1,124.5
8.3,90.4,124.5
8.4,107.3,124.5
8.5,102.7,124.5
8.6,96.1,124.5
8.7,104.6,124.5
8.8,89.9,124.5
8.9,90.3,124.5
9.0,79.5,124.5
9.1,75.4,124.5
9.2,105.4,124.5
9.3,90.5,124.5
9.4,89.2,124.5
9.5,83.8,124.5
9.6,81.7,124.5
9.7,96.0,124.5
9.8,107.5,124.5
9.9,89.1,124.5
10.0,111.0,124.5
10.1,50.5,124.5
10.2,106.8,124.5
10.3,98.9,124.5
10.4,100.3,124.5
10.5,81.2,124.5
10.6,106.5,124.5
10.7,98.0,124.5
10.8,103.6,124.5
10.9,78.4,124.5
11.0,109.3,124.5
11.1,95.9,124.5
11.2,90.0,124.5
11.3,101.1,124.5
11.4,64.8,124.5
11.5,101.7,124.5
11.6,98.1,124.5
11.7,103.6,124.5
11.8,106.3,124.5
11.9,62.4,124.5
12.0,107.8,124.5
12.1,92.8,124.5
12.2,89.3,124.5
12.3,104.3,124.5
12.4,89.3,124.5
12.5,73.3,124.5
12.6,96.1,124.5
12.7,104.2,124.5
12.8,99.6,124.5
12.9,102.3,124.5
13.0,95.3,124.5
13.1,84.4,124.5
13.2,107.6,124.5
13.3,93.8,124.5
13.4,97.4,124.5
13.5,110.1,124.5
13.6,99.1,124.5
13.7,99.1,124.5
13.8,72.0,124.5
13.9,88.9,124.5
14.0,103.1,124.5
14.1,87.9,124.5
14.2,95.8,124.5
14.3,106.6,124.5
14.4,80.2,124.5
14.5,93.6,124.5
14.6,98.7,124.5
14.7,64.7,124.5
14.8,101.4,124.5
14.9,69.7,124.5
15.0,89.1,124.5
15.1,85.3,124.5
15.2,96.1,124.5
15.3,108.7,124.5
15.4,96.6,124.5
15.5,96.4,124.5
15.6,96.8,124.5
15.7,102.6,124.5
15.8,103.2,124.5
15.9,93.3,124.5
16.0,107.8,124.5
16.1,80.4,124.5
16.2,105.0,124.5
16.3,91.7,124.5
16.4,109.2,124.5
16.5,97.8,124.5
16.6,89.7,124.5
16.7,101.7,124.5
16.8,100.0,124.5
16.9,94.6,124.5
17.0,102.4,124.5
17.1,98.0,124.5
17.2,106.5,124.5
17.3,93.2,124.5
17.4,83.9,124.5
17.5,105.9,124.5
17.6,105.0,124.5
17.7,93.0,124.5
17.8,105.6,124.5
17.9,90.8,124.5
18.0,109.2,124.5
18.1,101.7,124.5
18.2,75.8,124.5
18.3,90.9,124.5
18.4,107.5,124.5
18.5,90.6,124.5
18.6,86.6,124.5
18.7,110.5,124.5
18.8,92.7,124.5
18.9,105.9,124.5
19.0,80.1,124.5
19.1,110.9,124.5
19.2,97.7,124.5
19.3,95.9,124.5
19.4,80.0,124.5
19.5,100.5,124.5
19.6,88.9,124.5
19.7,88.9,124.5
19.8,86.2,124.5
19.9,85.7,124.5
20.0,105.7,124.5
20.1,86.5,124.5
20.2,87.8,124.5
20.3,81.2,124.5
20.4,91.2,124.5
20.5,97.0,124.5
20.6,107.7,124.5
20.7,101.7,124.5
20.8,98.8,124.5
20.9,75.3,124.5
21.0,90.6,124.5
21.1,92.7,124.5
21.2,89.1,124.5
21.3,94.3,124.5
21.4,92.7,124.5
21.5,100.2,124.5
21.6,102.6,124.5
21.7,80.2,124.5
21.8,107.7,124.5
21.9,74.2,124.5
22.0,103.4,124.5
22.1,90.6,124.5
22.2,103.0,124.5
22.3,103.3,124.5
22.4,85.4,124.5
22.5,95.7,124.5
22.6,100.6,124.5
22.7,99.3,124.5
22.8,105.3,124.5
22.9,53.5,124.5
23.0,105.0,124.5
23.1,104.8,124.5
23.2,94.8,124.5
23.3,93.8,124.5
23.4,100.8,124.5
23.5,109.9,124.5
23.6,112.3,124.53
23.7,90.7,124.53
23.8,107.0,124.53
23.9,100.7,124.53
24.0,101.8,124.53
24.1,75.8,124.57
24.2,106.2,124.57
24.3,105.2,124.57
24.4,94.4,124.57
24.5,81.1,124.57
24.6,102.4,124.57
24.7,106.6,124.57
24.8,95.3,124.57
24.9,84.5,124.57
25.0,107.5,124.57
25.1,103.5,124.57
25.2,90.7,124.57
25.3,86.9,124.57
25.4,102.9,124.57
25.5,82.4,124.57
25.6,92.9,124.57
25.7,106.9,124.57
25.8,100.5,124.57
25.9,90.7,124.57
26.0,90.4,124.57
26.1,94.6,124.57
26.2,90.2,124.57
26.3,89.5,124.57
26.4,106.9,124.57
26.5,101.3,124.57
26.6,92.6,124.57
26.7,104.7,124.57
26.8,95.6,124.57
26.9,107.1,124.57
