time_offset_sec,cpu_percent,memory_rss_mb
0.0,0.0,92.07
0.1,104.9,92.21
0.2,29.3,92.21
0.3,0.0,92.22
0.4,0.0,92.22
0.5,0.0,92.22
0.6,0.0,92.31
0.7,14.9,92.34
0.8,0.0,92.34
0.9,0.0,92.34
1.0,0.0,92.34
1.1,14.5,92.34
1.2,14.0,92.34
1.3,14.0,92.34
1.4,0.0,92.34
1.5,0.0,92.34
1.6,14.1,92.34
1.7,14.0,92.34
1.8,0.0,92.34
1.9,13.9,92.34
2.0,13.8,92.34
2.1,14.0,92.34
2.2,14.0,92.34
2.3,14.0,92.34
2.4,0.0,92.35
2.5,14.8,92.35
2.6,14.2,92.35
2.7,13.9,92.35
2.8,14.1,92.35
2.9,14.0,92.35
3.0,0.0,92.35
3.1,0.0,92.35
3.2,13.9,92.35
3.3,14.1,92.35
3.4,0.0,92.35
3.5,0.0,92.35
3.6,0.0,92.35
3.7,0.0,92.35
3.8,0.0,92.35
3.9,14.1,92.35
4.0,14.1,92.35
4.1,14.0,92.35
4.2,14.2,92.35
4.3,14.6,92.35
4.4,14.0,92.35
4.5,14.0,92.35
4.6,13.9,92.35
4.7,0.0,92.35
4.8,13.9,92.35
4.9,14.0,92.35
5.0,14.1,92.35
5.1,14.1,92.35
5.2,14.1,92.35
5.3,13.9,92.35
5.4,0.0,92.35
5.5,0.0,92.35
5.6,14.0,92.35
5.7,0.0,92.35
5.8,13.9,92.35
5.9,14.0,92.35
6.0,14.1,92.35
6.1,0.0,92.35
6.2,15.1,92.35
6.3,0.0,92.35
6.4,14.0,92.35
6.5,14.0,92.35
6.6,14.0,92.35
6.7,14.4,92.35
6.8,14.0,92.35
6.9,13.9,92.35
7.0,0.0,92.35
7.1,0.0,92.35
7.2,0.0,92.35
7.3,0.0,92.35
7.4,0.0,92.35
7.5,0.0,92.35
7.6,0.0,92.35
7.7,0.0,92.35
7.8,0.0,92.35
7.9,0.0,92.35
8.0,0.0,92.35
8.1,0.0,92.35
8.2,14.0,92.35
8.3,13.9,92.35
8.4,14.1,92.35
8.5,14.0,92.35
8.6,14.1,92.35
8.7,0.0,92.35
8.8,0.0,92.35
8.9,0.0,92.35
9.0,0.0,92.35
9.1,14.1,92.35
9.2,14.1,92.35
9.3,14.0,92.35
9.4,14.0,92.35
9.5,0.0,92.35
9.6,0.0,92.35
9.7,0.0,92.35
9.8,0.0,92.35
9.9,14.1,92.35
10.0,14.1,92.35
10.1,0.0,92.35
10.2,13.9,92.35
10.3,0.0,92.35
10.4,13.9,92.35
10.5,14.0,92.35
10.6,14.2,92.35
10.7,0.0,92.35
10.8,14.8,92.35
10.9,14.1,92.35
11.0,14.1,92.35
11.1,14.2,92.35
11.2,14.5,92.35
11.3,14.9,92.35
11.4,0.0,92.35
11.5,0.0,92.35
11.6,0.0,92.35
11.7,14.1,92.35
11.8,14.8,92.35
11.9,14.0,92.35
12.0,15.0,92.35
12.1,0.0,92.35
12.2,0.0,92.35
12.3,0.0,92.35
12.4,13.9,92.35
12.5,0.0,92.35
12.6,0.0,92.35
12.7,0.0,92.35
12.8,0.0,92.35
12.9,0.0,92.35
13.0,14.1,92.35
13.1,14.1,92.35
13.2,0.0,92.35
13.3,14.1,92.35
13.4,14.1,92.35
13.5,14.0,92.35
13.6,0.0,92.35
13.7,0.0,92.35
13.8,0.0,92.35
13.9,0.0,92.35
14.0,0.0,92.35
14.1,14.0,92.35
14.2,14.0,92.35
14.3,14.1,92.35
14.4,14.0,92.35
14.5,14.0,92.35
14.6,0.0,92.35
14.7,0.0,92.35
14.8,0.0,92.35
14.9,13.9,92.35
15.0,14.0,92.35
15.1,14.0,92.35
15.2,14.0,92.35
15.3,14.1,92.35
15.4,0.0,92.35
15.5,0.0,92.35
15.6,14.0,92.35
15.7,14.0,92.35
15.8,14.1,92.35
15.9,14.0,92.35
16.0,0.0,92.35
16.1,14.2,92.35
16.2,0.0,92.35
16.3,0.0,92.35
16.4,14.4,92.35
16.5,13.9,92.35
16.6,0.0,92.35
16.7,0.0,92.35
16.8,14.0,92.35
16.9,14.0,92.35
17.0,13.9,92.35
17.1,14.1,92.35
17.2,14.0,92.35
17.3,14.3,92.35
17.4,14.0,92.35
17.5,0.0,92.35
17.6,13.7,92.35
17.7,0.0,92.35
17.8,14.0,92.35
17.9,14.0,92.35
18.0,14.1,92.35
18.1,14.0,92.35
18.2,14.0,92.35
18.3,14.0,92.35
18.4,0.0,92.35
