time_offset_sec,cpu_percent,memory_rss_mb
0.0,0.0,93.95
0.1,104.9,94.12
0.2,29.9,94.28
0.3,14.2,94.28
0.4,0.0,94.28
0.5,15.0,94.28
0.6,25.8,94.36
0.7,43.6,134.88
0.8,42.0,98.1
0.9,0.0,98.1
1.0,14.2,98.1
1.1,13.7,98.1
1.2,13.8,98.1
1.3,13.9,98.1
1.4,0.0,98.1
1.5,13.9,98.1
1.6,14.1,98.1
1.7,13.6,98.1
1.8,14.0,98.1
1.9,13.4,98.1
2.0,13.5,98.1
2.1,13.8,98.1
2.2,13.6,98.1
2.3,13.5,98.1
2.4,14.8,98.1
2.5,14.1,98.1
2.6,13.6,98.1
2.7,0.0,98.1
2.8,0.0,98.1
2.9,14.0,98.1
3.0,0.0,98.1
3.1,14.0,98.1
3.2,14.2,98.1
3.3,14.2,98.1
3.4,14.1,98.1
3.5,14.1,98.1
3.6,0.0,98.1
3.7,0.0,98.1
3.8,13.7,98.1
3.9,14.1,98.1
4.0,14.2,98.1
4.1,14.7,98.1
4.2,13.5,98.1
4.3,0.0,98.1
4.4,0.0,98.1
4.5,0.0,98.1
4.6,0.0,98.1
4.7,13.4,98.1
4.8,13.8,98.1
4.9,0.0,98.1
5.0,0.0,98.1
5.1,13.7,98.1
5.2,14.1,98.1
5.3,13.8,98.1
5.4,0.0,98.1
5.5,0.0,98.1
5.6,13.9,98.1
5.7,25.2,98.1
5.8,0.0,98.1
5.9,0.0,98.1
6.0,14.4,98.1
6.1,13.4,98.1
6.2,13.5,98.1
6.3,13.5,98.1
6.4,0.0,98.1
6.5,0.0,98.1
6.6,0.0,98.1
6.7,0.0,98.1
6.8,13.7,98.1
6.9,14.1,98.1
7.0,14.2,98.1
7.1,14.1,98.1
7.2,14.1,98.1
7.3,14.1,98.1
7.4,14.1,98.1
7.5,0.0,98.1
7.6,0.0,98.1
7.7,13.9,98.1
7.8,13.4,98.1
7.9,13.1,98.1
8.0,14.2,98.1
8.1,14.2,98.1
8.2,14.1,98.1
8.3,14.0,98.1
8.4,13.6,98.1
8.5,0.0,98.1
8.6,14.0,98.1
8.7,13.8,98.1
8.8,14.2,98.1
8.9,13.6,98.1
9.0,13.6,98.1
9.1,0.0,98.1
9.2,14.1,98.1
9.3,14.2,98.1
9.4,13.8,98.1
9.5,14.3,98.1
9.6,13.8,98.1
9.7,14.0,98.1
9.8,0.0,98.1
9.9,13.5,98.1
10.0,14.1,98.1
10.1,14.1,98.1
10.2,14.1,98.1
10.3,13.3,98.1
10.4,0.0,98.1
10.5,14.2,98.1
10.6,14.1,98.1
10.7,14.2,98.1
10.8,13.9,98.1
10.9,14.2,98.1
11.0,14.0,98.1
11.1,13.4,98.1
11.2,14.1,98.1
11.3,13.8,98.1
11.4,14.1,98.1
11.5,13.9,98.1
11.6,13.0,98.1
11.7,14.0,98.1
11.8,15.0,98.1
11.9,14.0,98.1
12.0,14.0,98.1
12.1,0.0,98.1
12.2,14.0,98.1
12.3,13.9,98.1
12.4,13.6,98.1
12.5,13.7,98.1
12.6,14.1,98.1
12.7,14.1,98.1
12.8,14.1,98.1
12.9,0.0,98.1
13.0,14.0,98.1
13.1,13.9,98.1
13.2,13.9,98.1
13.3,14.0,98.1
13.4,0.0,98.1
13.5,0.0,98.1
13.6,0.0,98.1
13.7,14.1,98.1
13.8,14.0,98.1
13.9,14.2,98.1
14.0,13.9,98.1
14.1,14.0,98.1
14.2,14.1,98.1
14.3,0.0,98.1
14.4,0.0,98.1
14.5,14.0,98.1
14.6,14.2,98.1
14.7,13.9,98.1
14.8,13.3,98.1
14.9,0.0,98.1
15.0,0.0,98.1
15.1,14.1,98.1
15.2,13.8,98.1
15.3,14.2,98.1
15.4,14.0,98.1
15.5,13.8,98.1
15.6,0.0,98.1
