time_offset_sec,cpu_percent,memory_rss_mb
0.0,77.4,124.06
0.1,104.3,124.19
0.2,90.2,124.28
0.3,92.4,124.49
0.4,12.5,124.51
0.5,12.4,124.51
0.6,0.0,124.52
0.7,0.0,124.52
0.8,13.5,124.52
0.9,13.4,124.52
1.0,13.4,124.52
1.1,24.8,124.52
1.2,12.7,124.52
1.3,13.5,124.52
1.4,13.7,124.5
1.5,0.0,124.5
1.6,13.2,124.5
1.7,13.8,124.5
1.8,13.1,124.5
1.9,12.6,124.5
2.0,13.5,124.5
2.1,13.5,124.5
2.2,12.9,124.5
2.3,13.3,124.54
2.4,13.6,124.54
2.5,13.4,124.54
2.6,13.0,124.54
2.7,26.5,124.54
2.8,25.4,124.54
2.9,13.5,124.54
3.0,13.1,124.54
3.1,25.5,124.54
3.2,25.2,124.54
3.3,13.6,124.54
3.4,13.3,124.54
3.5,12.9,124.54
3.6,13.0,124.54
3.7,13.5,124.54
3.8,0.0,124.54
3.9,13.6,124.54
4.0,13.4,124.54
4.1,12.6,124.54
4.2,12.5,124.54
4.3,13.1,124.54
4.4,26.6,124.54
4.5,13.6,124.54
4.6,13.7,124.54
4.7,13.2,124.54
4.8,13.5,124.54
4.9,13.0,124.54
5.0,54.6,124.58
5.1,107.4,124.59
5.2,126.3,124.85
5.3,42.7,124.92
5.4,13.5,124.92
5.5,13.6,124.92
5.6,13.5,124.92
5.7,13.4,124.92
5.8,13.4,124.92
5.9,13.1,124.92
6.0,12.8,124.92
6.1,13.3,124.92
6.2,14.0,124.92
6.3,13.3,124.92
6.4,0.0,124.94
6.5,13.5,124.94
6.6,25.0,124.94
6.7,13.5,124.94
6.8,14.6,124.94
6.9,14.0,124.94
7.0,14.3,124.94
7.1,13.7,124.94
7.2,0.0,124.94
7.3,13.6,124.94
7.4,12.7,124.94
7.5,0.0,124.94
7.6,12.6,124.94
7.7,12.5,124.94
7.8,25.3,124.94
7.9,0.0,124.94
8.0,13.1,124.94
8.1,26.2,124.94
8.2,13.1,124.94
8.3,13.2,124.94
8.4,25.0,124.94
8.5,12.6,124.94
8.6,13.6,124.94
8.7,0.0,124.94
8.8,13.6,124.94
8.9,13.4,124.94
9.0,12.6,124.94
9.1,13.4,124.94
9.2,25.1,124.94
9.3,13.5,124.94
9.4,0.0,124.94
9.5,0.0,124.94
9.6,13.4,124.94
9.7,13.3,124.94
9.8,24.0,124.94
9.9,24.2,124.94
10.0,13.5,124.94
10.1,13.5,124.94
10.2,13.0,124.94
10.3,13.2,124.94
10.4,13.6,124.94
10.5,12.4,124.94
10.6,13.4,124.94
10.7,13.7,124.94
10.8,25.9,124.94
10.9,14.0,124.94
11.0,13.7,124.94
11.1,0.0,124.94
11.2,12.7,124.94
11.3,13.6,124.94
11.4,13.4,124.94
11.5,13.0,124.94
11.6,13.1,124.94
11.7,14.0,124.94
11.8,12.7,124.94
11.9,13.5,124.94
12.0,13.5,124.94
12.1,13.5,124.94
12.2,12.7,124.94
12.3,12.9,124.94
12.4,12.7,124.94
12.5,13.4,124.94
12.6,13.8,125.08
12.7,14.2,125.08
12.8,13.7,125.08
12.9,13.6,125.08
13.0,13.4,125.08
13.1,13.5,125.08
13.2,12.7,125.08
13.3,12.4,125.08
13.4,0.0,125.08
13.5,13.3,125.08
13.6,13.5,125.08
13.7,13.4,125.08
13.8,13.5,125.08
13.9,13.6,125.08
14.0,13.4,125.08
14.1,25.9,125.08
14.2,14.2,125.08
14.3,13.2,125.08
14.4,13.5,125.08
14.5,13.2,125.08
14.6,13.6,125.08
14.7,13.2,125.08
14.8,12.6,125.08
14.9,13.0,125.08
15.0,13.2,125.08
15.1,13.5,125.08
15.2,13.4,125.08
15.3,13.1,125.08
15.4,13.5,125.08
15.5,13.4,125.08
15.6,13.3,125.08
15.7,13.5,125.08
15.8,12.3,125.08
15.9,13.3,125.08
16.0,13.1,125.08
16.1,13.3,125.08
16.2,13.5,125.08
16.3,13.5,125.08
16.4,13.2,125.08
16.5,25.2,125.08
16.6,24.9,125.08
16.7,25.2,125.08
16.8,13.9,125.08
16.9,25.4,125.08
17.0,13.5,125.08
17.1,12.6,125.08
17.2,13.1,125.08
17.3,25.4,125.08
17.4,12.8,125.08
17.5,12.4,125.08
17.6,14.1,125.08
17.7,13.7,125.08
17.8,13.6,125.08
17.9,23.8,125.08
18.0,13.3,125.08
18.1,0.0,125.08
18.2,13.0,125.08
18.3,13.3,125.08
18.4,12.6,125.08
18.5,13.4,125.08
18.6,14.0,125.08
18.7,14.1,125.08
18.8,13.0,125.08
18.9,13.4,125.08
19.0,12.7,125.08
19.1,13.4,125.08
19.2,25.3,125.08
19.3,13.5,125.08
19.4,38.3,136.46
19.5,26.7,125.09
19.6,13.4,125.09
19.7,13.0,125.09
19.8,24.4,125.09
19.9,13.1,125.09
20.0,13.2,125.09
20.1,13.8,125.09
20.2,12.8,125.09
20.3,24.8,125.11
20.4,13.5,125.11
20.5,12.6,125.11
20.6,12.8,125.11
20.7,13.4,125.11
20.8,13.6,125.11
20.9,25.1,125.11
21.0,13.5,125.11
21.1,12.7,125.11
21.2,13.3,125.11
21.3,24.9,125.11
21.4,13.3,125.11
21.5,12.5,125.11
21.6,0.0,125.11
21.7,13.0,125.11
21.8,13.4,125.11
21.9,13.6,125.11
22.0,13.4,125.11
22.1,13.3,125.11
22.2,25.0,125.11
22.3,13.4,125.11
22.4,13.1,125.11
22.5,0.0,125.11
22.6,13.1,125.11
22.7,0.0,125.11
22.8,13.5,125.11
22.9,12.7,125.11
23.0,12.6,125.11
23.1,13.4,125.11
23.2,13.5,125.11
23.3,13.2,125.11
23.4,13.6,125.11
23.5,26.5,125.11
23.6,13.1,125.11
23.7,13.3,125.11
23.8,12.3,125.11
23.9,26.3,125.11
24.0,13.5,125.11
24.1,25.4,125.11
24.2,13.8,125.11
24.3,26.3,125.11
24.4,13.5,125.11
24.5,13.5,125.11
24.6,13.1,125.11
24.7,13.5,125.11
24.8,13.1,125.11
24.9,26.9,125.11
25.0,13.2,125.11
25.1,25.3,125.11
25.2,13.3,125.11
25.3,24.9,125.11
25.4,12.6,125.11
25.5,12.7,125.11
25.6,12.4,125.11
25.7,13.3,125.11
25.8,26.1,125.11
25.9,13.4,125.11
26.0,13.2,125.11
26.1,25.8,125.11
26.2,12.5,125.11
26.3,12.9,125.11
26.4,12.6,125.11
26.5,12.5,125.11
26.6,0.0,125.11
26.7,13.4,125.11
26.8,12.9,125.11
26.9,12.9,125.11
27.0,0.0,125.11
27.1,0.0,125.11
27.2,12.5,125.11
27.3,13.0,125.11
27.4,26.0,125.11
27.5,13.2,125.11
27.6,13.4,125.11
27.7,13.4,125.11
27.8,13.4,125.11
27.9,14.0,125.11
28.0,25.6,125.11
28.1,13.1,125.11
28.2,0.0,125.11
28.3,12.7,125.11
28.4,12.9,125.11
28.5,13.5,125.11
28.6,26.9,125.16
28.7,26.5,125.11
28.8,12.8,125.11
28.9,12.3,125.11
29.0,14.2,125.11
29.1,13.6,125.11
29.2,25.2,125.11
29.3,13.5,125.11
29.4,0.0,125.11
29.5,0.0,125.11
29.6,12.5,125.11
29.7,0.0,125.11
29.8,12.7,125.11
29.9,13.4,125.11
30.0,25.5,125.11
30.1,14.3,125.11
30.2,13.0,125.11
30.3,13.4,125.11
30.4,13.8,125.11
30.5,13.6,125.11
30.6,13.7,125.11
30.7,13.4,125.11
30.8,25.9,125.11
30.9,13.7,125.11
31.0,13.5,125.11
31.1,12.6,125.11
31.2,12.7,125.11
31.3,0.0,125.11
31.4,13.4,125.11
31.5,12.8,125.11
31.6,26.7,125.11
31.7,12.6,125.11
31.8,13.6,125.11
31.9,13.8,125.11
32.0,13.5,125.11
32.1,12.7,125.11
32.2,13.2,125.11
32.3,13.9,125.11
32.4,13.6,125.11
32.5,13.3,125.11
32.6,25.7,125.11
32.7,13.5,125.11
