time_offset_sec,cpu_percent,memory_rss_mb
0.0,77.6,113.38
0.1,126.4,113.38
0.2,41.7,113.38
0.3,13.5,113.38
0.4,25.8,113.38
0.5,24.5,113.38
0.6,13.4,113.38
0.7,12.7,113.38
0.8,25.0,113.38
0.9,23.8,113.38
1.0,12.8,113.38
1.1,12.7,113.38
1.2,12.5,113.38
1.3,13.3,113.38
1.4,13.5,113.38
1.5,0.0,113.38
1.6,13.5,113.38
1.7,13.5,113.38
1.8,13.3,113.38
1.9,13.5,113.38
2.0,12.4,113.38
2.1,13.5,113.38
2.2,13.4,113.38
2.3,0.0,113.38
2.4,0.0,113.38
2.5,13.2,113.38
2.6,25.0,113.38
2.7,14.0,113.38
2.8,26.2,113.38
2.9,13.3,113.38
3.0,13.3,113.38
3.1,13.5,113.38
3.2,26.7,113.38
3.3,13.1,113.38
3.4,13.5,113.38
3.5,12.7,113.38
3.6,13.1,113.38
3.7,0.0,113.38
3.8,12.7,113.38
3.9,12.4,113.38
4.0,0.0,113.38
4.1,14.1,113.38
4.2,14.3,113.38
4.3,0.0,113.38
4.4,13.4,113.38
4.5,62.5,113.38
4.6,106.3,113.38
4.7,110.0,113.37
4.8,41.8,113.38
4.9,24.9,113.38
5.0,13.4,113.38
5.1,14.1,113.38
5.2,14.1,113.38
5.3,13.4,113.38
5.4,13.4,113.38
5.5,25.7,113.38
5.6,14.1,113.38
5.7,13.8,113.38
5.8,26.1,113.38
5.9,13.1,113.38
6.0,13.6,113.38
6.1,12.7,113.38
6.2,13.1,113.38
6.3,0.0,113.38
6.4,24.6,113.38
6.5,12.5,113.38
6.6,13.0,113.38
6.7,13.3,113.38
6.8,13.0,113.38
6.9,13.5,113.38
7.0,13.2,113.38
7.1,0.0,113.38
7.2,12.6,113.38
7.3,0.0,113.38
7.4,12.5,113.38
7.5,0.0,113.38
7.6,12.9,113.38
7.7,14.2,113.38
7.8,25.9,113.38
7.9,13.6,113.38
8.0,0.0,113.38
8.1,26.4,113.38
8.2,25.0,113.38
8.3,0.0,113.38
8.4,0.0,113.38
8.5,13.0,113.38
8.6,14.1,113.38
8.7,14.2,113.38
8.8,25.5,113.38
8.9,13.3,113.38
9.0,14.0,113.38
9.1,14.0,113.38
