time_offset_sec,cpu_percent,memory_rss_mb
0.0,93.4,41.23
0.1,88.6,46.77
0.2,73.3,50.5
0.3,73.6,53.75
0.4,101.1,59.18
0.5,88.0,62.35
0.6,44.0,62.73
0.7,14.4,62.76
0.8,13.5,62.76
0.9,0.0,62.76
1.0,0.0,62.76
1.1,99.8,68.47
1.2,103.2,73.38
1.3,88.6,81.52
1.4,29.4,83.42
1.5,14.3,84.27
1.6,13.7,84.29
1.7,13.7,84.29
1.8,13.8,84.29
1.9,13.8,84.29
2.0,14.0,84.29
2.1,13.4,84.3
2.2,0.0,84.3
2.3,13.7,84.3
2.4,13.9,84.3
2.5,13.7,84.3
2.6,0.0,84.3
2.7,13.6,84.36
2.8,0.0,84.36
2.9,13.6,84.36
3.0,13.9,84.36
3.1,13.6,84.36
3.2,0.0,84.36
3.3,13.4,84.36
3.4,14.2,84.36
3.5,14.0,84.36
3.6,0.0,84.36
3.7,0.0,84.36
3.8,13.5,84.36
3.9,13.1,84.36
4.0,13.5,84.36
4.1,13.6,84.36
4.2,26.4,84.36
4.3,13.5,84.36
4.4,13.7,84.36
4.5,13.7,84.36
4.6,14.0,84.36
4.7,13.7,84.36
4.8,13.6,84.36
4.9,13.6,84.37
5.0,13.8,84.37
5.1,13.6,84.37
5.2,13.4,84.37
5.3,13.5,84.37
5.4,12.8,84.37
5.5,13.1,84.37
5.6,12.9,84.37
5.7,13.0,84.37
5.8,12.9,84.37
5.9,26.1,84.37
6.0,14.4,84.37
6.1,12.9,84.37
6.2,13.1,84.37
6.3,13.6,84.37
6.4,13.6,84.37
6.5,13.9,84.37
6.6,13.6,84.37
6.7,13.6,84.37
6.8,13.5,84.37
6.9,13.5,84.37
7.0,0.0,84.37
7.1,13.2,84.37
7.2,27.4,84.58
7.3,13.3,84.59
7.4,13.6,84.59
7.5,25.4,84.59
7.6,13.2,84.59
7.7,51.1,84.68
7.8,103.3,84.84
7.9,125.1,84.99
8.0,105.3,85.29
8.1,53.4,85.34
8.2,13.6,85.34
8.3,12.7,85.34
8.4,13.3,85.34
8.5,38.1,85.98
8.6,88.1,86.42
8.7,13.1,86.43
8.8,12.6,86.43
8.9,13.3,86.43
9.0,25.3,86.43
9.1,12.8,86.43
9.2,13.1,86.43
9.3,25.5,86.43
9.4,0.0,86.43
9.5,13.6,86.43
9.6,13.7,86.43
9.7,13.2,86.43
9.8,12.8,86.48
9.9,13.6,86.51
10.0,12.9,86.57
10.1,14.0,86.57
10.2,13.6,86.58
10.3,13.7,86.58
10.4,13.6,86.58
10.5,13.7,86.58
