time_offset_sec,cpu_percent,memory_rss_mb
0.0,92.1,120.3
0.1,86.8,120.35
0.2,102.9,120.52
0.3,86.2,120.7
0.4,25.7,120.77
0.5,0.0,120.77
0.6,13.9,120.77
0.7,13.2,120.77
0.8,0.0,120.77
0.9,13.6,120.77
1.0,14.1,120.77
1.1,14.2,120.77
1.2,25.6,120.77
1.3,0.0,120.77
1.4,13.7,120.77
1.5,26.4,120.8
1.6,13.4,120.8
1.7,13.6,120.8
1.8,25.7,120.8
1.9,13.8,120.8
2.0,13.4,120.8
2.1,13.5,120.8
2.2,24.7,120.8
2.3,26.1,120.8
2.4,12.9,120.8
2.5,12.9,120.8
2.6,12.4,120.8
2.7,13.3,120.8
2.8,13.2,120.8
2.9,12.9,120.8
3.0,0.0,120.8
3.1,24.9,120.8
3.2,13.1,120.8
3.3,25.0,120.8
3.4,13.2,120.8
3.5,0.0,120.8
3.6,26.4,120.8
3.7,13.4,120.8
3.8,13.3,120.8
3.9,13.0,120.8
4.0,12.7,120.8
4.1,12.5,120.8
4.2,0.0,120.8
4.3,13.4,120.8
4.4,26.3,120.8
4.5,13.5,120.8
4.6,26.1,120.8
4.7,24.9,120.8
4.8,12.2,120.8
4.9,13.5,120.8
5.0,12.5,120.8
5.1,12.9,120.8
5.2,39.9,120.8
5.3,13.2,120.8
5.4,13.4,120.8
5.5,53.8,120.91
5.6,106.7,121.19
5.7,95.4,121.73
5.8,41.2,121.94
5.9,13.6,121.96
6.0,12.9,121.96
6.1,13.6,121.96
6.2,13.0,121.96
6.3,13.1,121.96
6.4,13.3,121.96
6.5,12.4,122.03
6.6,12.8,122.03
6.7,13.4,122.03
6.8,12.9,122.03
6.9,12.6,122.03
7.0,12.7,122.03
7.1,13.0,122.03
7.2,13.7,122.03
7.3,13.5,122.07
7.4,14.6,122.07
7.5,13.7,122.07
7.6,13.4,122.07
7.7,12.3,122.07
7.8,13.4,122.07
7.9,12.8,122.07
8.0,12.8,122.07
8.1,13.3,122.07
8.2,13.4,122.07
8.3,13.0,122.07
8.4,13.3,122.07
8.5,12.7,122.07
8.6,0.0,122.07
8.7,13.6,122.07
8.8,12.9,122.07
8.9,12.5,122.07
9.0,12.9,122.07
9.1,13.4,122.07
9.2,13.0,122.07
9.3,14.0,122.07
9.4,13.0,122.07
9.5,24.0,122.07
9.6,12.8,122.07
9.7,26.2,122.07
9.8,25.2,122.07
9.9,13.2,122.07
10.0,13.5,122.07
10.1,25.0,122.07
10.2,11.8,122.07
10.3,13.7,122.07
10.4,13.7,122.07
10.5,12.6,122.07
10.6,0.0,122.07
10.7,13.3,122.07
10.8,13.3,122.07
10.9,13.6,122.07
11.0,13.3,122.07
11.1,13.0,122.07
11.2,13.7,122.07
11.3,13.6,122.07
11.4,13.4,122.07
