time_offset_sec,cpu_percent,memory_rss_mb
0.0,92.9,106.72
0.1,108.6,106.71
0.2,73.7,106.71
0.3,26.8,106.73
0.4,0.0,106.73
0.5,0.0,106.73
0.6,0.0,106.73
0.7,13.6,106.73
0.8,13.5,106.73
0.9,13.8,106.73
1.0,13.4,106.73
1.1,25.8,106.73
1.2,14.3,106.73
1.3,13.0,106.73
1.4,0.0,106.73
1.5,12.8,106.73
1.6,12.6,106.73
1.7,12.6,106.73
1.8,12.9,106.73
1.9,24.8,106.73
2.0,25.2,106.73
2.1,14.1,106.73
2.2,13.4,106.73
2.3,12.8,106.73
2.4,0.0,106.73
2.5,0.0,106.73
2.6,13.1,106.73
2.7,12.5,106.73
2.8,13.4,106.73
2.9,13.4,106.73
3.0,13.5,106.73
3.1,13.7,106.73
3.2,13.0,106.73
3.3,12.6,106.73
3.4,95.9,106.73
3.5,108.8,106.73
3.6,93.7,106.73
3.7,67.7,106.73
3.8,24.9,106.73
3.9,25.5,106.73
4.0,13.5,106.73
4.1,13.0,106.73
4.2,13.4,106.73
4.3,13.6,106.73
4.4,14.0,106.73
4.5,25.7,106.73
4.6,13.3,106.73
4.7,12.4,106.73
4.8,12.8,106.73
4.9,25.6,106.73
5.0,13.5,106.73
5.1,0.0,106.73
5.2,13.0,106.73
5.3,13.5,106.73
5.4,12.9,106.73
5.5,13.6,106.73
5.6,13.3,106.73
5.7,12.9,106.73
5.8,13.7,106.73
5.9,12.6,106.73
6.0,13.1,106.73
6.1,26.1,106.73
6.2,12.9,106.73
6.3,13.5,106.73
6.4,24.9,106.73
6.5,13.5,106.73
6.6,13.1,106.73
6.7,13.5,106.73
6.8,12.8,106.73
6.9,25.5,106.73
7.0,13.4,106.73
7.1,0.0,106.73
7.2,25.9,106.73
7.3,13.4,106.73
7.4,12.7,106.73
7.5,25.5,106.73
7.6,13.1,106.73
7.7,14.1,106.73
7.8,13.4,106.73
7.9,26.8,106.73
8.0,14.1,106.73
8.1,13.3,106.73
8.2,0.0,106.73
8.3,13.4,106.73
8.4,13.2,106.73
8.5,12.6,106.73
8.6,23.8,106.73
8.7,13.6,106.73
8.8,0.0,106.73
8.9,12.6,106.73
9.0,0.0,106.73
9.1,13.9,106.73
9.2,25.1,106.73
9.3,24.6,106.73
9.4,12.2,106.73
9.5,26.2,106.73
9.6,12.4,106.73
9.7,12.7,106.73
9.8,13.4,106.73
9.9,26.8,106.73
10.0,14.2,106.73
10.1,13.7,106.73
10.2,13.5,106.73
10.3,12.7,106.73
10.4,13.1,106.73
10.5,13.2,106.73
10.6,12.5,106.73
10.7,12.7,106.73
10.8,12.4,106.73
10.9,13.0,106.73
11.0,26.1,112.7
11.1,79.1,106.73
11.2,73.0,106.73
11.3,98.2,106.88
11.4,12.6,107.07
11.5,12.8,107.07
11.6,26.4,107.07
11.7,13.2,107.07
11.8,25.2,107.07
11.9,13.8,107.07
12.0,13.7,107.07
12.1,13.0,107.07
12.2,13.7,107.07
12.3,24.9,107.07
12.4,13.2,107.07
12.5,26.8,107.09
12.6,13.4,107.09
12.7,25.8,107.09
12.8,13.3,107.09
12.9,12.9,107.09
13.0,0.0,107.09
13.1,12.6,107.09
13.2,0.0,107.09
13.3,0.0,107.09
13.4,0.0,107.09
13.5,0.0,107.09
13.6,0.0,107.09
13.7,13.7,107.09
13.8,12.8,107.09
13.9,13.1,107.09
14.0,26.5,107.09
14.1,13.6,107.09
14.2,12.5,107.09
14.3,13.6,107.09
14.4,12.7,107.09
14.5,12.2,107.09
14.6,0.0,107.09
14.7,0.0,107.09
14.8,13.1,107.09
14.9,12.9,107.09
15.0,13.4,107.09
15.1,13.1,107.09
