time_offset_sec,cpu_percent,memory_rss_mb
0.0,0.0,81.8
0.1,100.3,82.04
0.2,44.8,82.3
0.3,14.1,82.32
0.4,14.1,82.32
0.5,0.0,82.32
0.6,13.6,82.39
0.7,28.5,82.95
0.8,14.1,82.96
0.9,14.1,82.96
1.0,14.2,82.96
1.1,0.0,82.96
1.2,0.0,82.96
1.3,0.0,82.96
1.4,0.0,82.96
1.5,0.0,82.96
1.6,14.1,82.96
1.7,14.4,82.96
1.8,0.0,82.96
1.9,0.0,82.96
2.0,0.0,82.96
2.1,14.2,82.96
2.2,14.2,82.96
2.3,14.1,82.97
2.4,14.1,82.97
2.5,14.2,82.97
2.6,14.2,82.97
2.7,14.1,82.97
2.8,14.1,82.97
2.9,14.2,82.97
3.0,14.1,82.97
3.1,0.0,82.97
3.2,0.0,82.97
3.3,0.0,82.97
3.4,14.0,82.97
3.5,14.2,82.97
3.6,14.1,82.97
3.7,14.1,82.97
3.8,14.1,82.97
3.9,14.2,82.97
4.0,14.0,82.97
4.1,14.0,82.97
4.2,0.0,82.97
4.3,0.0,82.97
4.4,0.0,82.97
4.5,0.0,82.97
4.6,14.1,82.97
4.7,14.2,82.97
4.8,14.1,82.97
4.9,14.1,82.97
5.0,14.0,82.97
5.1,14.0,82.97
5.2,14.1,82.97
5.3,0.0,82.97
5.4,0.0,82.97
5.5,0.0,82.97
5.6,0.0,82.97
5.7,0.0,82.97
5.8,14.4,82.97
5.9,15.0,82.97
6.0,14.6,82.97
6.1,14.2,82.97
6.2,14.1,82.97
6.3,14.1,82.97
6.4,14.1,82.97
6.5,14.4,82.97
6.6,14.6,82.97
6.7,14.3,82.97
6.8,14.5,82.97
6.9,14.4,82.97
7.0,14.2,82.97
7.1,14.2,82.97
7.2,14.2,82.97
7.3,14.2,82.97
7.4,14.2,82.97
7.5,0.0,82.97
7.6,0.0,82.97
7.7,0.0,82.97
7.8,13.9,82.97
7.9,13.9,82.97
8.0,14.1,82.97
8.1,14.4,82.97
8.2,14.1,82.97
8.3,14.1,82.97
8.4,14.4,82.97
8.5,13.9,82.97
8.6,0.0,82.97
8.7,13.8,82.97
8.8,13.7,82.97
8.9,13.6,82.97
9.0,0.0,82.97
9.1,0.0,82.97
9.2,0.0,82.97
9.3,0.0,82.97
9.4,14.8,82.97
9.5,14.2,82.97
9.6,14.4,82.97
9.7,14.3,82.97
9.8,13.7,82.97
9.9,13.9,82.97
10.0,0.0,82.97
10.1,0.0,82.97
10.2,13.9,82.97
10.3,14.0,82.97
10.4,14.9,82.97
10.5,0.0,82.97
10.6,13.9,82.97
10.7,14.1,82.97
10.8,0.0,82.97
10.9,0.0,82.97
11.0,14.2,82.97
11.1,0.0,82.97
11.2,0.0,82.97
11.3,0.0,82.97
11.4,0.0,82.97
11.5,14.1,82.97
11.6,14.1,82.97
11.7,14.2,82.97
11.8,14.1,82.97
11.9,14.1,82.97
12.0,14.2,82.97
12.1,15.0,82.97
12.2,14.0,82.97
12.3,14.2,82.97
12.4,14.1,82.97
12.5,14.1,82.97
12.6,14.2,82.97
12.7,14.1,82.97
12.8,14.1,82.97
12.9,0.0,82.97
13.0,0.0,82.97
13.1,0.0,82.97
13.2,0.0,82.97
13.3,0.0,82.97
13.4,14.1,82.97
13.5,14.1,82.97
13.6,14.1,82.97
13.7,14.1,82.97
13.8,14.2,82.97
13.9,14.1,82.97
14.0,14.2,82.97
14.1,14.1,82.97
14.2,14.2,82.97
14.3,0.0,82.97
14.4,0.0,82.97
14.5,0.0,82.97
14.6,0.0,82.97
14.7,14.2,82.97
14.8,14.2,82.97
14.9,14.2,82.97
15.0,14.1,82.97
15.1,14.4,82.97
15.2,14.2,82.97
15.3,14.5,82.97
15.4,14.2,82.97
15.5,14.5,82.97
15.6,14.1,82.97
15.7,14.1,82.97
15.8,14.0,82.97
15.9,14.1,82.97
16.0,14.6,82.97
16.1,14.1,82.97
16.2,14.1,82.97
16.3,13.9,82.97
16.4,0.0,82.97
16.5,14.1,82.97
16.6,14.1,82.97
16.7,14.5,82.97
16.8,14.0,82.97
16.9,13.9,82.97
17.0,14.1,82.97
17.1,14.2,82.97
17.2,13.9,82.97
17.3,0.0,82.98
17.4,0.0,82.98
17.5,0.0,82.98
17.6,0.0,82.98
17.7,14.0,82.98
17.8,14.1,82.98
17.9,14.1,82.98
18.0,14.2,82.98
18.1,14.5,82.98
18.2,14.1,82.98
18.3,14.1,82.98
18.4,14.2,82.98
18.5,14.0,82.98
18.6,0.0,82.98
18.7,0.0,82.98
18.8,0.0,82.98
18.9,0.0,82.98
19.0,0.0,82.98
19.1,0.0,82.98
19.2,13.9,82.98
19.3,14.1,82.98
19.4,14.0,82.98
19.5,14.4,82.98
19.6,14.2,82.98
19.7,14.0,82.98
19.8,0.0,82.98
19.9,0.0,82.98
20.0,0.0,82.98
20.1,0.0,82.98
20.2,14.1,82.98
20.3,14.1,82.98
20.4,14.1,82.98
20.5,14.2,82.98
20.6,14.1,82.98
20.7,14.4,82.98
20.8,13.8,82.98
20.9,14.4,82.98
21.0,14.1,82.98
21.1,14.2,82.98
21.2,14.0,82.98
21.3,0.0,82.98
21.4,0.0,82.98
21.5,0.0,82.98
21.6,0.0,82.98
21.7,0.0,82.98
21.8,0.0,82.98
21.9,0.0,82.98
22.0,14.1,82.98
22.1,0.0,82.98
22.2,13.9,82.98
22.3,14.1,82.98
22.4,14.4,82.98
22.5,14.1,82.98
22.6,14.1,82.98
22.7,0.0,82.98
22.8,0.0,82.98
22.9,0.0,82.98
23.0,0.0,82.98
23.1,0.0,82.98
23.2,14.1,82.98
23.3,14.0,82.98
23.4,14.1,82.98
23.5,14.1,82.98
23.6,14.0,82.98
23.7,14.3,82.98
23.8,14.2,82.98
23.9,14.2,82.98
24.0,14.0,82.98
24.1,0.0,82.98
24.2,0.0,82.98
24.3,0.0,82.98
24.4,0.0,82.98
24.5,0.0,82.98
24.6,14.1,82.98
24.7,14.2,82.98
24.8,14.1,82.98
24.9,14.4,82.98
25.0,14.1,82.98
25.1,13.9,82.98
25.2,14.1,82.98
25.3,14.1,82.98
25.4,0.0,82.98
25.5,0.0,82.98
25.6,0.0,82.98
25.7,0.0,82.98
25.8,0.0,82.98
25.9,14.1,82.98
26.0,14.2,82.98
26.1,0.0,82.98
26.2,0.0,82.98
26.3,14.1,82.98
26.4,14.1,82.98
26.5,14.1,82.98
26.6,14.5,82.98
26.7,14.1,82.98
26.8,14.2,82.98
26.9,0.0,82.98
27.0,14.5,82.98
27.1,14.2,82.98
27.2,14.1,82.98
27.3,14.2,82.98
27.4,14.1,82.98
27.5,0.0,82.98
27.6,0.0,82.98
27.7,0.0,82.98
27.8,0.0,82.98
27.9,0.0,82.98
28.0,0.0,82.98
28.1,0.0,82.98
28.2,0.0,82.98
28.3,0.0,82.98
28.4,14.1,82.98
28.5,14.1,82.98
28.6,14.4,82.98
28.7,14.1,82.98
28.8,14.1,82.98
28.9,14.0,82.98
29.0,14.2,82.98
29.1,0.0,82.98
29.2,14.2,82.98
29.3,14.2,82.98
29.4,14.1,82.98
29.5,28.2,82.98
29.6,0.0,82.98
29.7,0.0,82.98
29.8,0.0,82.98
29.9,0.0,82.98
30.0,0.0,82.98
30.1,0.0,82.98
30.2,0.0,82.98
30.3,14.1,82.98
30.4,13.9,82.98
30.5,14.4,82.98
30.6,14.1,82.98
30.7,14.1,82.98
30.8,14.2,82.98
30.9,14.1,82.98
31.0,14.2,82.98
31.1,0.0,82.98
31.2,0.0,82.98
31.3,0.0,82.98
31.4,0.0,82.98
31.5,0.0,82.98
31.6,0.0,82.98
31.7,14.2,82.98
31.8,14.2,82.98
31.9,14.4,82.98
32.0,14.1,82.98
32.1,14.1,82.98
32.2,14.1,82.98
32.3,14.2,82.98
32.4,14.1,82.98
32.5,14.0,82.98
32.6,14.4,82.98
32.7,14.2,82.98
32.8,14.1,82.98
32.9,0.0,82.98
33.0,14.6,82.98
33.1,14.1,82.98
33.2,13.8,82.98
33.3,14.1,82.98
33.4,14.1,82.98
33.5,0.0,82.98
33.6,0.0,82.98
33.7,0.0,82.98
33.8,0.0,82.98
33.9,0.0,82.98
34.0,0.0,82.98
34.1,0.0,82.98
34.2,0.0,82.98
34.3,0.0,82.98
34.4,14.0,82.98
34.5,14.2,82.98
34.6,14.1,82.98
34.7,14.0,82.98
34.8,14.9,82.98
34.9,14.1,82.98
35.0,14.0,82.98
35.1,14.2,82.98
35.2,14.1,82.98
35.3,14.1,82.98
35.4,14.5,82.98
35.5,14.2,82.98
35.6,14.1,82.98
35.7,0.0,82.98
35.8,0.0,82.98
35.9,0.0,82.98
36.0,0.0,82.98
36.1,14.1,82.98
36.2,14.2,82.98
36.3,14.1,82.98
36.4,14.1,82.98
36.5,14.2,82.99
36.6,14.1,82.99
36.7,14.1,82.99
36.8,14.1,82.99
36.9,0.0,82.99
37.0,0.0,82.99
37.1,0.0,82.99
37.2,0.0,82.99
37.3,0.0,82.99
37.4,0.0,82.99
37.5,0.0,82.99
37.6,0.0,82.99
37.7,0.0,82.99
37.8,0.0,82.99
37.9,15.0,82.99
38.0,14.3,82.99
38.1,14.2,82.99
38.2,14.1,82.99
38.3,14.2,82.99
38.4,14.2,82.99
38.5,13.9,82.99
38.6,14.1,82.99
38.7,14.9,82.99
38.8,14.0,82.99
38.9,14.7,82.99
39.0,14.1,82.99
39.1,0.0,82.99
39.2,0.0,82.99
39.3,0.0,82.99
39.4,0.0,82.99
39.5,0.0,82.99
39.6,0.0,82.99
39.7,15.0,82.99
39.8,14.2,82.99
39.9,14.1,82.99
