time_offset_sec,cpu_percent,memory_rss_mb
0.0,76.5,40.82
0.1,103.5,45.91
0.2,88.5,49.66
0.3,59.3,53.02
0.4,59.4,58.0
0.5,74.0,62.26
0.6,73.4,62.8
0.7,0.0,62.84
0.8,14.2,62.84
0.9,0.0,62.84
1.0,0.0,62.84
1.1,53.3,66.34
1.2,58.6,70.94
1.3,88.8,76.25
1.4,29.6,83.21
1.5,29.2,82.82
1.6,28.7,84.29
1.7,13.9,84.3
1.8,13.8,84.31
1.9,0.0,84.31
2.0,0.0,84.31
2.1,13.8,84.31
2.2,14.2,84.31
2.3,14.5,84.31
2.4,13.7,84.31
2.5,13.8,84.31
2.6,13.7,84.31
2.7,14.3,84.31
2.8,13.7,84.31
2.9,14.6,84.31
3.0,13.8,84.31
3.1,13.5,84.31
3.2,13.6,84.36
3.3,13.7,84.36
3.4,13.7,84.36
3.5,13.5,84.36
3.6,0.0,84.36
3.7,0.0,84.36
3.8,13.7,84.36
3.9,13.5,84.36
4.0,13.6,84.36
4.1,13.6,84.36
4.2,13.4,84.36
4.3,13.6,84.36
4.4,0.0,84.36
4.5,14.6,84.36
4.6,14.4,84.36
4.7,14.1,84.36
4.8,14.2,84.36
4.9,13.5,84.36
5.0,13.8,84.36
5.1,13.7,84.36
5.2,13.5,84.36
5.3,13.5,84.36
5.4,13.6,84.36
5.5,13.5,84.36
5.6,13.5,84.36
5.7,13.7,84.36
5.8,13.6,84.36
5.9,13.5,84.36
6.0,13.7,84.36
6.1,13.8,84.36
6.2,13.7,84.36
6.3,0.0,84.36
6.4,13.6,84.36
6.5,13.5,84.36
6.6,13.6,84.36
6.7,13.6,84.36
6.8,27.4,84.54
6.9,13.9,84.55
7.0,13.5,84.55
7.1,13.6,84.55
7.2,40.7,84.61
7.3,88.3,84.91
7.4,14.7,84.95
7.5,13.9,84.96
7.6,0.0,84.96
7.7,13.5,84.96
7.8,29.4,85.67
7.9,27.8,85.96
8.0,14.1,85.97
8.1,13.7,85.97
8.2,13.5,85.97
8.3,13.7,85.97
8.4,13.7,85.97
8.5,13.7,85.97
8.6,13.5,85.97
