time_offset_sec,cpu_percent,memory_rss_mb
0.0,0.0,88.6
0.1,73.1,89.88
0.2,14.6,89.88
0.3,14.6,89.88
0.4,14.3,89.88
0.5,0.0,89.88
0.6,83.6,110.51
0.7,80.0,116.63
0.8,108.1,116.63
0.9,93.8,116.63
1.0,106.4,116.63
1.1,94.0,116.63
1.2,107.4,116.63
1.3,93.4,116.63
1.4,94.1,116.63
1.5,94.0,116.63
1.6,107.3,116.63
1.7,93.7,116.63
1.8,106.9,116.63
1.9,94.3,116.63
2.0,93.3,116.63
2.1,107.3,116.63
2.2,93.6,116.63
2.3,107.2,116.63
2.4,93.6,116.63
2.5,107.2,116.63
2.6,93.8,116.63
2.7,107.1,116.63
2.8,94.3,116.63
2.9,106.6,116.63
3.0,93.7,116.63
3.1,107.4,116.63
3.2,93.2,116.63
3.3,107.6,116.63
3.4,93.9,116.63
3.5,93.7,116.63
3.6,107.1,116.63
3.7,93.9,116.63
3.8,94.1,116.63
3.9,93.2,116.63
4.0,104.3,116.63
4.1,105.2,116.63
4.2,85.4,116.63
4.3,92.8,116.63
4.4,82.4,116.63
4.5,94.3,116.63
4.6,93.8,116.63
4.7,93.7,116.63
4.8,107.4,116.63
4.9,93.0,116.63
5.0,106.3,116.63
5.1,94.2,116.63
5.2,107.5,116.63
5.3,73.6,116.63
5.4,107.3,116.63
5.5,92.8,116.63
5.6,92.6,116.63
5.7,67.0,116.63
5.8,108.2,116.63
5.9,94.5,116.63
6.0,107.1,116.63
6.1,93.8,116.63
6.2,106.9,116.63
6.3,93.1,116.63
6.4,107.8,116.63
6.5,92.2,116.63
6.6,81.6,116.63
6.7,107.4,116.63
6.8,104.0,116.63
6.9,93.8,116.63
7.0,105.6,116.63
7.1,93.4,116.63
7.2,94.0,116.63
7.3,104.5,116.63
7.4,94.4,116.63
7.5,93.8,116.63
7.6,93.8,116.63
7.7,93.6,116.63
7.8,105.6,116.63
7.9,93.6,116.63
8.0,93.2,116.63
8.1,93.9,116.63
8.2,106.0,116.63
8.3,96.1,116.63
8.4,107.9,116.63
8.5,110.1,116.63
8.6,98.1,116.63
8.7,97.6,116.63
8.8,97.4,116.63
8.9,98.4,116.63
9.0,110.0,116.63
9.1,97.5,116.63
9.2,98.5,116.63
9.3,97.7,116.63
9.4,98.0,116.63
9.5,98.4,116.63
9.6,97.7,116.63
9.7,98.4,116.63
9.8,97.9,116.63
9.9,109.9,116.63
10.0,98.2,116.63
10.1,98.3,116.63
10.2,98.1,116.63
10.3,112.1,116.63
10.4,98.5,116.63
10.5,97.9,116.63
10.6,98.1,116.63
10.7,97.8,116.63
10.8,99.4,116.63
10.9,98.9,116.63
11.0,98.4,116.63
11.1,110.7,116.63
11.2,97.6,116.63
11.3,97.9,116.63
11.4,97.7,116.63
11.5,97.5,116.63
11.6,97.5,116.63
11.7,97.3,116.63
11.8,98.1,116.63
11.9,97.6,116.63
12.0,98.9,116.63
12.1,97.7,116.63
12.2,85.0,116.63
12.3,97.7,116.63
12.4,97.8,116.63
12.5,97.9,116.63
12.6,97.5,116.63
12.7,97.4,116.63
12.8,97.6,116.63
12.9,98.3,116.63
13.0,97.5,116.63
13.1,98.6,116.63
13.2,98.3,116.63
13.3,110.2,116.63
13.4,97.9,116.63
13.5,98.4,116.63
13.6,98.8,116.63
13.7,97.9,116.63
13.8,98.0,116.63
13.9,98.0,116.63
14.0,85.8,116.63
14.1,98.4,116.63
14.2,97.8,116.63
14.3,97.9,116.63
14.4,98.6,116.63
14.5,98.5,116.63
14.6,108.6,116.63
14.7,86.0,116.63
14.8,98.0,116.63
14.9,85.8,116.63
15.0,98.0,116.63
15.1,97.8,116.63
15.2,110.9,116.63
15.3,98.0,116.63
15.4,98.4,116.63
15.5,69.9,116.63
15.6,73.4,116.63
15.7,97.8,116.63
15.8,97.3,116.63
15.9,98.3,116.63
16.0,97.6,116.63
16.1,98.2,116.63
16.2,98.3,116.63
16.3,97.4,116.63
16.4,110.2,116.63
16.5,97.9,116.63
16.6,97.5,116.63
16.7,98.3,116.63
16.8,73.6,116.63
16.9,97.9,116.63
17.0,86.3,116.63
17.1,110.3,116.63
17.2,98.5,116.63
17.3,83.6,116.63
17.4,85.5,116.63
17.5,97.7,116.63
17.6,98.3,116.63
17.7,109.7,116.63
17.8,98.4,116.63
17.9,98.2,116.63
18.0,97.7,116.63
18.1,98.5,116.63
18.2,97.5,116.63
18.3,73.5,116.63
18.4,98.4,116.63
18.5,98.2,116.63
18.6,98.6,116.63
18.7,98.1,116.63
18.8,97.7,116.63
18.9,103.7,116.63
19.0,99.0,116.63
19.1,105.4,116.63
19.2,93.6,116.63
19.3,98.7,116.63
19.4,102.2,116.63
19.5,96.3,116.63
19.6,98.8,116.63
19.7,112.2,116.63
19.8,95.8,116.63
19.9,97.0,116.63
20.0,98.2,116.63
20.1,97.9,116.63
20.2,111.5,116.63
20.3,92.9,116.63
20.4,98.2,116.63
20.5,98.4,116.63
20.6,98.1,116.63
20.7,112.2,116.63
20.8,91.0,116.63
20.9,97.8,116.63
21.0,98.6,116.63
21.1,98.8,116.63
21.2,92.5,116.63
21.3,98.7,116.63
21.4,98.0,116.63
21.5,98.5,116.63
21.6,98.2,116.63
21.7,90.6,116.63
21.8,98.1,116.63
21.9,113.6,116.63
22.0,98.4,116.63
22.1,98.1,116.63
22.2,90.6,116.63
22.3,112.7,116.63
22.4,98.2,116.63
22.5,97.9,116.63
22.6,98.1,116.63
22.7,103.3,116.63
22.8,98.3,116.63
22.9,98.3,116.63
23.0,98.7,116.63
23.1,104.7,116.63
23.2,98.3,116.63
23.3,97.8,116.63
23.4,98.4,116.63
23.5,96.7,116.63
23.6,91.0,116.63
23.7,96.5,116.63
23.8,104.1,116.63
23.9,100.4,116.63
24.0,101.9,116.63
24.1,102.4,116.63
24.2,89.6,116.63
24.3,102.7,116.63
24.4,102.4,116.63
24.5,101.3,116.63
24.6,88.8,116.63
24.7,89.3,116.63
24.8,90.9,116.63
24.9,103.0,116.63
25.0,101.8,116.63
25.1,102.3,116.63
25.2,72.1,116.66
25.3,90.0,116.66
25.4,89.2,116.66
25.5,105.1,116.66
25.6,97.9,116.66
25.7,103.1,116.66
25.8,87.1,116.66
25.9,99.5,116.66
26.0,96.3,116.66
26.1,86.0,116.66
26.2,97.9,116.66
26.3,97.5,116.66
26.4,98.7,116.66
26.5,86.6,116.66
26.6,86.4,116.66
26.7,100.9,116.66
26.8,94.2,116.66
26.9,105.0,116.66
27.0,94.7,116.66
27.1,104.5,116.66
27.2,94.3,116.66
27.3,105.5,116.66
27.4,70.3,116.66
27.5,93.8,116.66
27.6,83.4,116.66
27.7,106.9,116.66
27.8,86.0,116.66
27.9,100.1,116.66
28.0,96.5,116.66
28.1,105.4,116.66
28.2,81.7,116.66
28.3,81.8,116.66
28.4,95.8,116.66
28.5,104.0,116.66
28.6,94.2,116.66
28.7,104.2,116.66
28.8,82.8,116.66
28.9,107.0,116.66
29.0,94.0,116.66
29.1,92.9,116.66
29.2,95.5,116.66
29.3,106.2,116.66
29.4,94.1,116.66
29.5,105.8,116.66
29.6,97.0,116.66
29.7,105.7,116.66
29.8,92.1,116.66
29.9,106.2,116.66
30.0,94.7,116.66
30.1,106.9,116.66
30.2,93.9,116.66
30.3,104.6,116.66
30.4,93.7,116.66
30.5,94.4,116.66
30.6,93.5,116.66
30.7,106.3,116.66
30.8,92.3,116.66
30.9,71.6,116.66
31.0,93.6,116.66
31.1,105.5,116.66
31.2,93.7,116.66
31.3,106.1,116.66
31.4,94.8,116.66
31.5,92.0,116.66
31.6,95.1,116.66
31.7,105.5,116.66
31.8,82.9,116.66
