time_offset_sec,cpu_percent,memory_rss_mb
0.0,0.0,24.97
0.1,45.0,31.27
0.2,44.6,40.75
0.3,14.9,43.47
0.4,14.1,43.28
0.5,14.6,43.87
0.6,14.3,43.78
0.7,14.3,43.42
0.8,57.6,44.94
0.9,90.1,48.99
1.0,89.9,52.66
1.1,89.7,58.17
1.2,105.2,62.12
1.3,59.5,62.54
1.4,0.0,62.56
1.5,14.0,62.56
1.6,14.0,62.56
1.7,14.1,62.56
1.8,70.2,67.03
1.9,89.7,72.01
2.0,89.9,77.99
2.1,15.0,82.23
2.2,43.1,81.48
2.3,14.1,81.5
2.4,0.0,81.5
2.5,0.0,81.5
2.6,0.0,81.5
2.7,0.0,81.5
2.8,0.0,81.5
2.9,0.0,81.5
3.0,14.1,81.5
3.1,14.1,81.5
3.2,14.1,81.5
3.3,14.2,81.5
3.4,14.2,81.51
3.5,14.2,81.51
3.6,14.0,81.51
3.7,0.0,81.51
3.8,14.2,81.51
3.9,0.0,81.51
4.0,0.0,81.51
4.1,0.0,81.51
4.2,0.0,81.51
4.3,0.0,81.51
4.4,0.0,81.51
4.5,0.0,81.51
4.6,0.0,81.51
4.7,0.0,81.51
4.8,0.0,81.51
4.9,0.0,81.51
5.0,14.3,81.51
5.1,14.1,81.51
5.2,14.0,81.51
5.3,14.2,81.51
5.4,14.2,81.51
5.5,0.0,81.51
5.6,14.1,81.51
5.7,0.0,81.51
5.8,0.0,81.51
5.9,14.2,81.51
6.0,14.1,81.51
6.1,0.0,81.51
6.2,0.0,81.51
6.3,0.0,81.51
6.4,0.0,81.51
6.5,14.2,81.51
6.6,14.2,81.51
6.7,14.1,81.51
6.8,14.2,81.51
6.9,14.1,81.51
7.0,14.4,81.51
7.1,14.4,81.51
7.2,14.1,81.51
7.3,14.2,81.51
7.4,14.2,81.51
7.5,14.2,81.51
7.6,14.1,81.51
7.7,14.2,81.51
7.8,14.1,81.51
7.9,0.0,81.51
8.0,0.0,81.51
8.1,0.0,81.51
8.2,0.0,81.51
8.3,13.9,81.51
8.4,14.2,81.51
8.5,14.1,81.51
8.6,14.1,81.51
8.7,14.1,81.51
8.8,14.2,81.51
8.9,14.1,81.51
9.0,14.0,81.51
9.1,0.0,81.51
9.2,0.0,81.51
9.3,14.4,81.51
9.4,14.1,81.51
9.5,14.4,81.51
9.6,14.0,81.51
9.7,14.3,81.51
9.8,14.4,81.51
9.9,14.7,81.51
10.0,14.1,81.51
10.1,14.2,81.51
10.2,14.5,81.51
10.3,14.1,81.51
10.4,0.0,81.51
10.5,14.2,81.51
10.6,14.1,81.51
10.7,14.1,81.51
10.8,0.0,81.51
10.9,0.0,81.51
11.0,0.0,81.51
11.1,14.0,81.51
11.2,0.0,81.51
11.3,14.2,81.51
