time_offset_sec,cpu_percent,memory_rss_mb
0.0,0.0,84.19
0.1,79.5,84.28
0.2,121.3,84.29
0.3,101.8,84.43
0.4,100.8,84.82
0.5,101.1,85.02
0.6,85.3,85.29
0.7,0.0,85.29
0.8,13.3,85.29
0.9,13.9,85.3
1.0,0.0,85.3
1.1,68.6,142.54
1.2,13.1,166.73
1.3,0.0,172.68
1.4,0.0,178.45
1.5,14.4,184.26
1.6,14.6,190.0
1.7,0.0,195.32
1.8,0.0,200.39
1.9,0.0,205.68
2.0,0.0,211.11
2.1,15.0,216.8
2.2,0.0,222.89
2.3,14.3,228.34
2.4,14.5,234.5
2.5,14.5,239.8
2.6,0.0,245.39
2.7,0.0,251.13
2.8,14.9,254.76
2.9,0.0,260.28
3.0,0.0,265.93
3.1,0.0,272.61
3.2,0.0,277.77
3.3,14.3,283.6
3.4,0.0,289.22
3.5,0.0,294.31
3.6,0.0,300.11
3.7,14.7,306.1
3.8,14.3,311.96
3.9,14.4,317.37
4.0,0.0,320.32
4.1,0.0,323.88
4.2,0.0,327.7
4.3,0.0,398.67
4.4,0.0,333.35
4.5,14.6,334.54
4.6,14.6,335.56
4.7,0.0,339.31
4.8,0.0,319.99
4.9,0.0,321.18
5.0,0.0,322.52
5.1,0.0,324.09
5.2,0.0,249.25
5.3,0.0,218.62
5.4,0.0,218.62
5.5,14.4,218.62
5.6,14.4,218.62
5.7,14.3,218.62
5.8,14.6,218.62
5.9,0.0,218.62
6.0,14.5,218.62
6.1,14.4,229.41
6.2,29.0,238.96
6.3,28.8,123.26
6.4,93.3,240.25
6.5,97.7,270.85
6.6,103.4,320.67
6.7,100.9,433.41
6.8,29.0,108.94
6.9,0.0,108.94
7.0,0.0,108.94
7.1,0.0,108.94
7.2,0.0,108.94
7.3,0.0,108.94
7.4,13.4,108.94
7.5,14.3,108.94
7.6,13.8,108.94
7.7,14.5,108.94
7.8,13.5,108.94
7.9,0.0,108.94
8.0,0.0,108.94
8.1,0.0,108.94
8.2,13.4,108.94
8.3,14.2,108.94
8.4,14.2,108.94
8.5,0.0,108.94
8.6,14.1,108.94
8.7,14.4,108.94
8.8,13.3,108.94
8.9,0.0,108.94
9.0,13.7,108.94
9.1,14.4,108.94
9.2,13.1,108.94
9.3,0.0,108.94
9.4,0.0,108.94
9.5,14.4,108.94
9.6,14.2,108.94
9.7,13.3,108.94
9.8,13.9,108.94
9.9,14.7,108.94
10.0,14.0,108.94
10.1,13.9,108.94
10.2,0.0,108.94
10.3,14.7,108.94
10.4,13.5,108.94
10.5,13.5,108.94
10.6,0.0,108.94
10.7,13.0,108.94
10.8,13.5,108.94
10.9,13.7,108.94
11.0,14.0,108.94
11.1,13.3,108.94
11.2,0.0,108.94
11.3,0.0,108.94
11.4,13.6,108.94
11.5,13.4,108.94
11.6,0.0,108.94
11.7,13.7,108.94
11.8,0.0,108.94
11.9,0.0,108.94
12.0,0.0,108.94
12.1,14.0,108.94
12.2,14.4,108.94
12.3,0.0,108.94
12.4,13.6,108.94
12.5,0.0,108.94
12.6,0.0,108.94
12.7,0.0,108.94
12.8,0.0,108.94
12.9,26.6,108.94
13.0,0.0,108.94
13.1,0.0,108.94
13.2,13.6,108.94
13.3,13.0,108.94
13.4,0.0,108.94
13.5,0.0,108.94
13.6,0.0,108.94
13.7,13.7,108.94
13.8,0.0,108.94
13.9,0.0,108.94
14.0,0.0,108.94
14.1,14.8,108.94
14.2,14.6,108.94
14.3,14.3,108.94
14.4,0.0,108.94
14.5,14.0,108.94
14.6,0.0,108.94
14.7,14.3,108.94
14.8,14.7,108.94
14.9,14.5,108.94
15.0,0.0,108.94
15.1,14.1,108.94
15.2,14.3,108.94
15.3,14.2,108.94
15.4,13.9,108.94
15.5,14.1,108.94
15.6,14.0,108.94
15.7,0.0,108.94
15.8,0.0,108.94
15.9,0.0,108.94
16.0,0.0,108.94
16.1,14.1,108.94
16.2,14.4,108.94
16.3,14.5,108.94
16.4,0.0,108.94
16.5,14.5,108.94
16.6,14.4,108.94
16.7,0.0,108.94
16.8,14.0,108.94
16.9,0.0,108.94
17.0,13.4,108.94
17.1,0.0,108.94
17.2,13.4,108.94
17.3,14.0,108.94
17.4,0.0,108.94
17.5,0.0,108.94
17.6,0.0,108.94
17.7,0.0,108.94
17.8,0.0,108.94
17.9,0.0,108.94
18.0,0.0,108.94
18.1,13.6,108.94
18.2,0.0,108.94
18.3,14.1,108.94
18.4,0.0,108.94
18.5,0.0,108.94
18.6,13.5,108.94
18.7,14.4,108.94
18.8,13.6,108.94
18.9,13.8,108.94
19.0,0.0,108.94
19.1,26.4,108.94
19.2,13.6,108.94
19.3,14.1,108.94
19.4,13.4,108.94
19.5,13.9,108.94
19.6,13.3,108.94
19.7,0.0,108.94
19.8,13.1,108.94
19.9,14.1,108.94
20.0,14.2,108.94
20.1,13.2,108.94
20.2,0.0,108.94
20.3,0.0,108.94
20.4,0.0,108.94
20.5,0.0,108.94
20.6,0.0,108.94
20.7,0.0,108.94
20.8,13.2,108.94
20.9,0.0,108.94
21.0,13.6,108.94
21.1,0.0,108.94
21.2,14.3,108.94
21.3,13.6,108.94
21.4,14.7,108.94
21.5,14.3,108.94
21.6,14.2,108.94
21.7,14.6,108.94
21.8,13.9,108.94
21.9,0.0,108.94
22.0,14.2,108.94
22.1,14.3,108.94
22.2,0.0,108.94
22.3,13.6,108.94
22.4,13.6,108.94
22.5,0.0,108.94
22.6,0.0,108.94
22.7,0.0,108.94
22.8,0.0,108.94
22.9,0.0,108.94
23.0,0.0,108.94
23.1,0.0,108.94
23.2,13.4,108.94
23.3,14.1,108.94
23.4,14.0,108.94
23.5,14.8,108.94
23.6,14.1,108.94
23.7,13.7,108.94
23.8,0.0,108.94
23.9,0.0,108.94
24.0,0.0,108.94
24.1,0.0,108.94
24.2,0.0,108.94
24.3,0.0,108.94
24.4,0.0,108.94
24.5,14.4,108.94
24.6,26.5,108.94
24.7,13.6,108.94
24.8,0.0,108.94
24.9,0.0,108.94
25.0,0.0,108.94
25.1,0.0,108.94
25.2,14.2,108.94
25.3,13.5,108.94
25.4,0.0,108.94
25.5,0.0,108.94
25.6,0.0,108.94
25.7,0.0,108.94
25.8,0.0,108.94
25.9,0.0,108.94
26.0,0.0,108.94
26.1,14.5,108.94
26.2,14.2,108.94
26.3,0.0,108.94
26.4,14.0,108.94
26.5,0.0,108.94
26.6,0.0,108.94
26.7,0.0,108.94
26.8,13.5,108.94
26.9,13.6,108.94
27.0,13.4,108.94
27.1,13.6,108.94
27.2,0.0,108.94
27.3,13.2,108.94
27.4,14.8,108.94
27.5,13.6,108.94
27.6,14.6,108.94
27.7,14.6,108.94
27.8,14.4,108.94
27.9,0.0,108.94
28.0,0.0,108.94
28.1,0.0,108.94
28.2,0.0,108.87
28.3,13.4,108.87
28.4,13.6,108.87
28.5,0.0,108.87
28.6,14.2,108.87
28.7,14.7,108.87
28.8,13.6,108.87
28.9,0.0,108.87
29.0,0.0,108.87
29.1,14.7,108.87
29.2,14.7,108.87
29.3,0.0,108.87
29.4,14.1,108.87
29.5,0.0,108.87
29.6,0.0,108.87
29.7,0.0,108.87
29.8,0.0,108.87
29.9,0.0,108.87
30.0,0.0,108.87
30.1,0.0,108.87
30.2,0.0,108.87
30.3,0.0,108.87
30.4,0.0,108.87
30.5,0.0,108.87
30.6,0.0,108.87
30.7,0.0,108.87
30.8,0.0,108.87
30.9,0.0,108.87
31.0,0.0,108.87
31.1,0.0,108.87
31.2,0.0,108.87
31.3,0.0,108.87
31.4,0.0,108.87
31.5,0.0,108.87
31.6,0.0,108.87
31.7,0.0,108.87
31.8,0.0,108.87
31.9,0.0,108.87
32.0,13.4,108.87
32.1,0.0,108.87
32.2,0.0,108.87
32.3,0.0,108.87
32.4,0.0,108.87
32.5,0.0,108.87
32.6,13.0,108.87
32.7,14.5,108.87
32.8,13.1,108.87
32.9,13.6,108.87
33.0,13.4,108.87
33.1,0.0,108.87
33.2,13.5,108.87
33.3,14.4,108.87
33.4,13.8,108.87
33.5,0.0,108.87
33.6,13.6,108.87
33.7,0.0,108.87
33.8,13.2,108.87
33.9,14.1,108.87
34.0,0.0,108.87
34.1,14.2,108.87
34.2,13.2,108.87
34.3,0.0,108.87
34.4,13.2,108.87
34.5,14.1,108.87
34.6,14.7,108.87
34.7,14.8,88.63
34.8,0.0,88.63
34.9,0.0,88.63
35.0,0.0,88.63
35.1,0.0,88.63
35.2,0.0,88.63
35.3,0.0,88.63
35.4,0.0,88.63
35.5,0.0,88.63
35.6,0.0,88.63
35.7,13.9,88.63
35.8,0.0,88.63
35.9,0.0,88.63
36.0,13.9,88.63
36.1,13.8,88.63
36.2,14.1,88.63
36.3,0.0,88.63
36.4,14.2,88.63
36.5,14.0,88.63
36.6,0.0,88.63
36.7,0.0,88.63
36.8,0.0,88.63
36.9,14.0,88.63
37.0,13.5,88.63
37.1,14.1,88.63
37.2,0.0,88.63
37.3,14.0,88.63
37.4,14.2,88.63
37.5,13.7,88.63
37.6,14.1,88.63
37.7,0.0,88.63
37.8,0.0,88.63
37.9,0.0,88.63
38.0,0.0,88.63
38.1,0.0,88.63
38.2,14.1,88.63
38.3,14.1,88.63
38.4,13.7,88.63
38.5,14.2,88.63
38.6,14.0,88.63
38.7,0.0,88.63
38.8,0.0,88.63
38.9,0.0,88.63
39.0,14.0,88.63
39.1,14.1,88.63
39.2,14.4,88.63
39.3,13.6,88.63
39.4,13.8,88.63
39.5,0.0,88.63
39.6,13.9,88.63
39.7,13.7,88.63
39.8,14.3,88.63
39.9,14.1,88.63
40.0,13.9,88.63
40.1,0.0,88.63
40.2,0.0,88.63
40.3,14.1,88.63
40.4,0.0,88.63
40.5,13.6,88.63
40.6,14.1,88.63
40.7,13.8,88.63
40.8,0.0,88.63
40.9,0.0,88.63
41.0,13.9,88.63
41.1,14.0,88.63
41.2,13.7,88.63
41.3,14.2,88.63
41.4,0.0,88.63
41.5,14.3,88.63
41.6,13.6,88.63
41.7,14.1,88.63
41.8,14.0,88.63
41.9,13.9,88.63
42.0,14.1,88.63
42.1,0.0,88.63
42.2,14.1,88.63
42.3,0.0,88.63
42.4,0.0,88.63
42.5,14.0,88.63
42.6,14.1,88.63
42.7,13.8,88.63
42.8,14.2,88.63
42.9,14.1,88.63
43.0,14.0,88.63
43.1,0.0,88.63
43.2,0.0,88.63
43.3,0.0,88.63
43.4,14.0,88.63
43.5,0.0,88.63
43.6,0.0,88.63
43.7,14.1,88.63
43.8,14.1,88.63
43.9,14.0,88.63
44.0,0.0,88.63
44.1,0.0,88.63
44.2,0.0,88.63
44.3,0.0,88.63
44.4,13.8,88.63
44.5,14.1,88.63
44.6,13.7,88.63
44.7,0.0,88.63
44.8,0.0,88.63
44.9,14.1,88.63
45.0,0.0,88.63
45.1,0.0,88.63
45.2,0.0,88.63
45.3,13.6,88.63
45.4,14.0,88.63
45.5,14.3,88.63
45.6,13.9,88.63
45.7,0.0,88.63
45.8,14.2,88.63
45.9,0.0,88.63
46.0,0.0,88.63
46.1,14.0,88.63
46.2,13.9,88.63
46.3,14.1,88.63
46.4,13.6,88.63
46.5,13.8,88.69
46.6,13.0,88.69
46.7,0.0,88.69
46.8,0.0,88.69
46.9,13.7,88.69
47.0,13.3,88.69
47.1,13.5,88.69
47.2,13.4,88.69
47.3,13.1,88.69
47.4,13.5,88.69
47.5,0.0,88.69
47.6,13.3,88.69
47.7,12.9,88.69
47.8,0.0,88.69
47.9,13.5,88.69
48.0,14.0,88.69
48.1,26.2,88.69
48.2,0.0,88.69
48.3,13.0,88.69
48.4,0.0,88.69
48.5,14.6,88.69
48.6,14.6,88.69
48.7,13.6,88.69
48.8,14.5,88.69
48.9,14.5,88.69
49.0,14.0,88.69
49.1,13.7,88.69
49.2,13.5,88.69
49.3,14.0,88.69
49.4,14.2,88.69
49.5,13.9,88.69
49.6,13.5,88.69
49.7,13.4,88.69
49.8,0.0,88.69
49.9,13.5,88.69
50.0,14.0,88.69
50.1,14.1,88.69
50.2,13.9,88.69
50.3,0.0,88.69
50.4,0.0,88.69
50.5,0.0,88.69
50.6,0.0,88.69
50.7,14.0,88.69
50.8,14.1,88.69
50.9,13.8,88.69
51.0,13.6,88.69
51.1,0.0,88.69
51.2,0.0,88.69
51.3,13.7,88.68
51.4,13.9,88.68
51.5,14.0,88.68
51.6,0.0,88.68
51.7,0.0,88.68
51.8,0.0,88.68
51.9,0.0,88.68
52.0,0.0,88.68
52.1,14.1,88.68
52.2,13.7,88.68
52.3,13.8,88.68
52.4,0.0,88.68
52.5,0.0,88.68
52.6,0.0,88.68
52.7,0.0,88.68
52.8,14.1,88.68
52.9,14.1,88.68
53.0,14.4,88.68
53.1,14.1,88.68
53.2,14.1,88.68
53.3,14.2,88.68
53.4,14.1,88.68
53.5,13.8,88.68
53.6,0.0,88.68
53.7,0.0,88.68
53.8,0.0,88.68
53.9,14.1,88.7
54.0,14.0,88.7
54.1,14.0,88.7
54.2,14.1,88.7
54.3,14.1,88.7
54.4,14.0,88.7
54.5,0.0,88.7
54.6,13.4,88.7
54.7,14.5,88.7
54.8,14.1,88.7
54.9,14.2,88.7
55.0,14.0,88.7
55.1,14.1,88.7
55.2,14.0,88.7
55.3,0.0,88.7
55.4,0.0,88.7
55.5,14.0,88.7
55.6,14.2,88.7
55.7,14.1,88.7
55.8,14.2,88.7
55.9,13.9,88.7
56.0,13.7,88.7
56.1,13.4,88.7
56.2,14.6,88.7
56.3,14.1,88.7
56.4,14.0,88.7
56.5,14.2,88.7
56.6,14.2,88.7
56.7,14.2,88.7
56.8,14.2,88.7
56.9,14.5,88.7
57.0,14.0,88.7
57.1,0.0,88.7
57.2,0.0,88.7
57.3,0.0,88.7
57.4,0.0,88.7
57.5,14.1,88.7
57.6,14.0,88.7
57.7,14.2,88.7
57.8,0.0,88.7
57.9,13.6,88.7
58.0,14.0,88.7
58.1,14.1,88.7
58.2,0.0,88.7
58.3,14.0,88.7
58.4,14.2,88.7
58.5,14.3,88.7
58.6,13.8,88.7
58.7,0.0,88.7
58.8,0.0,88.7
58.9,0.0,88.7
59.0,13.5,88.74
59.1,14.1,88.74
59.2,0.0,88.74
59.3,0.0,88.74
59.4,0.0,88.74
59.5,0.0,88.74
59.6,13.7,88.74
59.7,14.1,88.74
59.8,14.1,88.74
59.9,14.0,88.74
60.0,14.2,88.74
60.1,0.0,88.74
60.2,0.0,88.74
60.3,0.0,88.74
60.4,0.0,88.74
60.5,14.1,88.74
60.6,14.1,88.74
60.7,14.0,88.74
60.8,14.1,88.74
60.9,0.0,88.74
61.0,0.0,88.74
61.1,0.0,88.74
61.2,14.0,88.74
61.3,14.0,88.74
61.4,0.0,88.74
61.5,13.9,88.74
61.6,0.0,88.74
61.7,0.0,88.74
61.8,0.0,88.74
61.9,14.1,88.74
62.0,14.1,88.74
62.1,14.5,88.74
62.2,13.9,88.74
62.3,14.1,88.74
62.4,14.2,88.74
62.5,14.1,88.74
62.6,0.0,88.74
62.7,13.9,88.74
62.8,13.8,88.74
62.9,14.5,88.74
63.0,14.1,88.74
63.1,13.9,88.74
63.2,14.2,88.74
63.3,14.0,88.74
63.4,0.0,88.74
63.5,0.0,88.74
63.6,14.1,88.74
63.7,14.0,88.74
63.8,14.2,88.74
63.9,13.8,88.74
64.0,13.9,88.74
64.1,0.0,88.74
64.2,0.0,88.74
64.3,14.1,88.74
64.4,13.6,88.74
64.5,14.1,88.74
64.6,14.0,88.74
64.7,0.0,88.74
64.8,14.1,88.74
64.9,14.2,88.74
65.0,14.0,88.74
65.1,14.2,88.74
65.2,13.8,88.74
65.3,26.9,88.74
65.4,14.0,88.74
65.5,13.6,88.74
65.6,0.0,88.74
65.7,0.0,88.74
65.8,0.0,88.74
65.9,0.0,88.74
66.0,14.0,88.74
66.1,13.9,88.74
66.2,13.9,88.74
66.3,14.0,88.74
66.4,0.0,88.74
66.5,0.0,88.74
66.6,0.0,88.74
66.7,0.0,88.74
66.8,0.0,88.74
66.9,13.7,88.74
67.0,14.2,88.74
67.1,14.2,88.74
67.2,14.1,88.74
67.3,14.1,88.74
67.4,14.0,88.74
67.5,0.0,88.74
67.6,0.0,88.74
67.7,0.0,88.74
67.8,0.0,88.74
67.9,14.0,88.74
68.0,13.9,88.74
68.1,14.2,88.74
68.2,13.6,88.74
68.3,0.0,88.74
68.4,0.0,88.74
68.5,14.2,88.74
68.6,14.2,88.74
68.7,13.7,88.74
68.8,14.3,88.74
68.9,13.9,88.74
69.0,14.2,88.74
69.1,0.0,88.74
69.2,13.6,88.74
69.3,13.6,88.74
69.4,0.0,88.74
69.5,0.0,88.74
69.6,13.7,88.74
69.7,14.0,88.74
69.8,14.1,88.74
69.9,14.8,88.74
70.0,14.1,88.74
70.1,14.2,88.74
70.2,14.2,88.74
70.3,14.2,88.74
70.4,14.0,88.74
70.5,0.0,88.74
70.6,14.1,88.74
70.7,14.1,88.74
70.8,0.0,88.74
70.9,14.4,88.74
71.0,14.0,88.74
71.1,14.0,88.74
71.2,0.0,88.74
71.3,0.0,88.74
71.4,13.9,88.74
71.5,14.2,88.74
71.6,14.1,88.74
71.7,13.8,88.74
71.8,14.0,88.74
71.9,14.2,88.74
72.0,0.0,88.74
72.1,13.3,88.74
72.2,13.8,88.74
72.3,14.6,88.74
72.4,0.0,88.74
72.5,0.0,88.74
72.6,0.0,88.74
72.7,0.0,88.74
72.8,0.0,88.74
72.9,14.8,88.74
73.0,14.6,88.74
73.1,14.0,88.74
73.2,14.9,88.74
73.3,14.3,88.74
73.4,0.0,88.74
73.5,0.0,88.74
73.6,0.0,88.74
73.7,14.4,88.74
73.8,14.5,88.74
73.9,0.0,88.74
74.0,0.0,88.74
74.1,0.0,88.74
74.2,14.5,88.74
74.3,14.1,88.74
74.4,14.0,88.74
74.5,14.6,88.74
74.6,14.5,88.74
74.7,0.0,88.74
74.8,14.0,88.74
74.9,0.0,88.74
75.0,0.0,88.74
75.1,0.0,88.74
75.2,13.9,88.74
75.3,0.0,88.74
75.4,0.0,88.74
75.5,0.0,88.74
75.6,14.6,88.74
75.7,14.6,88.74
75.8,0.0,88.74
75.9,0.0,88.74
76.0,0.0,88.74
76.1,14.6,88.74
76.2,14.4,88.74
76.3,13.6,88.74
76.4,0.0,88.74
76.5,14.1,88.74
76.6,0.0,88.74
76.7,13.5,88.74
76.8,13.7,88.74
76.9,13.6,88.74
77.0,0.0,88.74
77.1,13.5,88.74
77.2,13.6,88.74
77.3,0.0,88.74
77.4,13.6,88.74
77.5,0.0,88.74
77.6,0.0,88.74
77.7,14.1,88.74
77.8,0.0,88.74
77.9,0.0,88.74
78.0,13.5,88.74
78.1,13.5,88.74
78.2,0.0,88.74
78.3,13.9,88.74
78.4,14.1,88.74
