time_offset_sec,cpu_percent,memory_rss_mb
0.0,93.3,108.84
0.1,98.7,109.27
0.2,110.3,109.72
0.3,28.7,109.77
0.4,13.6,109.77
0.5,13.3,109.77
0.6,13.7,109.77
0.7,13.5,109.77
0.8,0.0,109.77
0.9,12.7,109.77
1.0,0.0,109.77
1.1,0.0,109.77
1.2,13.7,109.77
1.3,13.9,109.77
1.4,13.6,109.77
1.5,13.7,109.77
1.6,13.5,109.77
1.7,13.6,109.77
1.8,12.8,109.82
1.9,0.0,109.82
2.0,12.8,109.82
2.1,13.1,109.82
2.2,13.6,109.82
2.3,13.3,109.82
2.4,13.5,109.82
2.5,13.6,109.82
2.6,13.2,109.82
2.7,27.0,109.82
2.8,13.9,109.82
2.9,13.8,109.82
3.0,13.9,109.82
3.1,13.9,109.82
3.2,13.4,109.82
3.3,25.4,109.82
3.4,13.6,109.82
3.5,25.9,109.82
3.6,13.5,109.82
3.7,26.5,109.82
3.8,13.8,109.82
3.9,13.9,109.82
4.0,0.0,109.82
4.1,13.3,109.82
4.2,13.9,109.82
4.3,13.0,109.82
4.4,13.8,109.82
4.5,13.7,109.82
4.6,25.1,109.82
4.7,13.6,109.82
4.8,0.0,109.82
4.9,13.6,109.82
5.0,14.7,109.82
5.1,14.3,109.82
5.2,0.0,109.82
5.3,13.2,109.82
5.4,13.6,109.82
5.5,13.1,109.82
5.6,14.1,109.82
5.7,12.7,109.82
5.8,13.6,109.82
5.9,27.6,109.83
6.0,106.9,109.92
6.1,112.0,110.08
6.2,98.5,110.26
6.3,12.2,110.39
6.4,13.5,110.39
6.5,14.1,110.39
6.6,0.0,110.39
6.7,13.5,110.39
6.8,25.4,110.39
6.9,13.4,110.39
7.0,13.6,110.39
7.1,13.6,110.39
7.2,25.2,110.39
7.3,13.7,110.39
7.4,13.7,110.39
7.5,0.0,110.42
7.6,13.1,110.42
7.7,13.5,110.42
7.8,14.2,110.42
7.9,13.6,110.42
8.0,14.0,110.42
8.1,13.6,110.42
8.2,13.5,110.42
8.3,13.5,110.42
8.4,13.4,110.42
8.5,13.6,110.42
8.6,13.5,110.42
8.7,13.7,110.42
8.8,13.7,110.42
8.9,13.2,110.42
9.0,25.8,110.42
9.1,13.5,110.42
9.2,26.1,110.42
9.3,14.2,110.42
9.4,13.3,110.42
9.5,13.4,110.42
9.6,12.9,110.42
9.7,13.4,110.42
9.8,25.6,110.42
9.9,13.6,110.42
10.0,0.0,110.42
10.1,12.7,110.42
10.2,13.3,110.42
10.3,13.4,110.42
10.4,13.5,110.42
10.5,14.3,110.42
10.6,13.9,110.42
10.7,13.3,110.42
10.8,13.2,110.42
10.9,13.6,110.42
11.0,13.6,110.42
11.1,12.8,110.42
11.2,13.6,110.42
11.3,13.3,110.42
11.4,13.5,110.42
11.5,13.5,110.42
11.6,13.7,110.42
11.7,26.7,110.42
11.8,14.3,110.42
11.9,14.0,110.42
12.0,0.0,110.42
12.1,0.0,110.42
12.2,26.0,110.42
12.3,13.2,110.42
12.4,13.5,110.42
12.5,13.0,110.42
12.6,12.8,110.42
12.7,12.8,110.42
12.8,26.4,110.42
12.9,13.9,110.42
13.0,14.1,110.42
13.1,13.5,110.42
13.2,13.6,110.42
13.3,13.5,110.42
13.4,12.7,110.47
13.5,14.0,110.47
13.6,0.0,110.47
13.7,12.9,110.47
13.8,13.7,110.47
13.9,13.2,110.47
14.0,13.6,110.47
14.1,13.4,110.47
14.2,13.3,110.47
14.3,13.2,110.48
14.4,14.5,110.48
14.5,14.4,110.48
14.6,14.3,110.48
14.7,13.6,110.48
14.8,13.4,110.48
14.9,13.5,110.48
15.0,12.8,110.48
15.1,13.7,110.48
15.2,13.5,110.48
15.3,0.0,110.48
15.4,14.2,110.48
15.5,0.0,110.48
15.6,14.5,110.48
15.7,14.2,110.48
15.8,13.6,110.48
15.9,0.0,110.48
16.0,13.6,110.48
16.1,25.0,110.48
16.2,25.5,110.48
16.3,13.5,110.48
16.4,13.5,110.48
16.5,0.0,110.48
16.6,13.4,110.48
16.7,14.2,110.48
16.8,13.4,110.48
16.9,13.5,110.48
17.0,13.5,110.48
17.1,13.6,110.48
17.2,12.6,110.48
17.3,0.0,110.48
17.4,14.0,110.48
17.5,13.4,110.48
17.6,13.4,110.48
17.7,13.7,110.48
17.8,25.6,110.48
17.9,13.8,110.48
18.0,25.4,110.48
18.1,14.1,110.48
18.2,13.6,110.48
18.3,12.7,110.48
18.4,0.0,110.48
18.5,12.7,110.48
18.6,13.4,110.48
18.7,12.6,110.48
18.8,23.6,110.48
18.9,13.4,110.48
19.0,14.0,110.48
19.1,25.7,110.48
19.2,13.5,110.48
19.3,25.9,110.48
19.4,0.0,110.48
19.5,25.4,110.48
19.6,40.5,110.5
19.7,0.0,110.5
19.8,12.8,110.5
19.9,0.0,110.5
20.0,12.8,110.5
20.1,13.1,110.5
20.2,13.3,110.5
20.3,13.6,110.5
20.4,13.5,110.5
20.5,0.0,110.5
20.6,13.5,110.5
20.7,0.0,110.51
20.8,25.7,110.51
20.9,13.2,110.51
21.0,26.7,110.51
21.1,13.6,110.51
21.2,13.4,110.51
21.3,12.6,110.51
21.4,13.4,110.51
21.5,13.6,110.51
21.6,25.7,110.51
21.7,13.5,110.51
21.8,0.0,110.51
21.9,13.4,110.51
22.0,13.0,110.51
22.1,25.4,110.51
22.2,25.3,110.51
22.3,13.9,110.51
22.4,13.6,110.51
22.5,13.6,110.51
22.6,13.6,110.51
22.7,14.0,110.51
22.8,0.0,110.51
22.9,13.6,110.51
23.0,25.3,110.51
23.1,12.8,110.51
23.2,12.8,110.51
23.3,0.0,110.51
23.4,13.4,110.51
23.5,25.6,110.51
23.6,25.1,110.51
23.7,12.8,110.51
23.8,13.2,110.51
23.9,0.0,110.51
24.0,13.5,110.51
24.1,12.8,110.51
24.2,0.0,110.51
24.3,13.1,110.51
24.4,0.0,110.51
24.5,13.6,110.51
24.6,13.5,110.51
24.7,12.8,110.51
24.8,27.5,110.51
24.9,13.6,110.51
25.0,12.8,110.51
25.1,13.5,110.53
25.2,13.8,110.53
25.3,13.7,110.53
25.4,13.6,110.53
25.5,13.6,110.53
25.6,12.8,110.53
25.7,26.0,110.53
25.8,13.6,110.53
25.9,14.4,110.53
26.0,14.4,110.53
26.1,13.2,110.53
26.2,13.6,110.53
26.3,13.5,110.53
26.4,13.6,110.53
26.5,12.8,110.53
26.6,12.9,110.53
26.7,12.9,110.53
26.8,13.5,110.53
26.9,13.6,110.53
27.0,13.7,110.53
27.1,13.6,110.53
27.2,13.4,110.53
27.3,13.5,110.53
27.4,0.0,110.53
27.5,13.7,110.53
27.6,14.2,110.53
27.7,13.6,110.53
27.8,0.0,110.53
27.9,13.5,110.53
28.0,13.6,110.53
28.1,0.0,110.53
28.2,13.6,110.53
28.3,13.3,110.53
28.4,13.6,110.53
28.5,13.6,110.53
28.6,26.6,110.53
28.7,13.9,110.53
28.8,14.1,110.53
28.9,26.0,110.53
29.0,13.5,110.53
29.1,25.6,110.53
29.2,13.4,110.53
29.3,0.0,110.53
29.4,13.6,110.53
29.5,12.9,110.53
29.6,13.2,110.53
29.7,25.5,110.53
29.8,13.4,110.53
29.9,13.2,110.53
30.0,25.2,110.53
30.1,13.6,110.53
30.2,13.9,110.53
30.3,0.0,110.53
30.4,13.6,110.53
30.5,13.6,110.53
30.6,13.6,110.53
30.7,13.5,110.53
30.8,25.5,110.53
30.9,13.6,110.53
31.0,13.3,110.53
31.1,13.9,110.53
31.2,24.7,110.53
31.3,13.5,110.53
31.4,0.0,110.53
31.5,0.0,110.53
31.6,13.3,110.53
31.7,13.3,110.53
31.8,0.0,110.55
31.9,0.0,110.55
32.0,0.0,110.55
32.1,13.6,110.55
32.2,13.6,110.55
32.3,12.9,110.55
32.4,12.1,110.55
32.5,0.0,110.55
32.6,13.6,110.55
32.7,14.0,110.56
32.8,13.0,110.56
32.9,0.0,110.56
33.0,0.0,110.56
33.1,13.7,110.56
33.2,13.9,110.56
33.3,13.5,110.56
33.4,13.2,110.56
33.5,14.0,110.56
33.6,0.0,110.56
33.7,13.1,110.56
33.8,23.6,110.56
33.9,12.7,110.56
34.0,13.2,110.56
34.1,13.6,110.56
34.2,0.0,110.56
34.3,13.6,110.56
34.4,13.7,110.56
34.5,25.6,110.56
34.6,13.7,110.56
34.7,12.6,110.56
34.8,13.6,110.56
34.9,12.8,110.56
35.0,13.6,110.56
35.1,12.6,110.56
35.2,13.5,110.56
35.3,24.7,110.56
35.4,25.9,110.56
35.5,13.1,110.56
35.6,13.5,110.56
35.7,13.9,110.56
35.8,13.5,110.56
35.9,13.6,110.56
36.0,13.5,110.56
36.1,13.6,110.56
36.2,13.6,110.56
36.3,14.3,110.56
36.4,13.7,110.56
36.5,13.6,110.56
36.6,13.3,110.56
36.7,13.6,110.56
36.8,13.1,110.56
