time_offset_sec,cpu_percent,memory_rss_mb
0.0,77.7,106.22
0.1,70.7,106.22
0.2,56.5,106.22
0.3,13.5,106.22
0.4,13.3,106.22
0.5,12.2,106.22
0.6,0.0,106.22
0.7,26.5,106.22
0.8,12.9,106.22
0.9,0.0,106.22
1.0,0.0,106.22
1.1,14.0,106.22
1.2,14.0,106.22
1.3,0.0,106.22
1.4,0.0,106.22
1.5,12.9,106.22
1.6,0.0,106.22
1.7,13.6,106.22
1.8,0.0,106.22
1.9,0.0,106.22
2.0,13.2,106.22
2.1,13.9,106.22
2.2,0.0,106.22
2.3,12.7,106.22
2.4,12.7,106.22
2.5,13.5,106.22
2.6,13.0,106.22
2.7,13.9,106.22
2.8,24.3,106.22
2.9,13.7,106.22
3.0,0.0,106.22
3.1,0.0,106.22
3.2,13.8,106.22
3.3,13.3,106.22
3.4,13.2,106.22
3.5,13.4,106.22
3.6,0.0,106.22
3.7,25.7,106.22
3.8,0.0,106.22
3.9,13.1,106.22
4.0,25.8,106.22
4.1,13.1,106.22
4.2,81.6,106.23
4.3,116.7,106.23
4.4,95.7,106.23
4.5,42.8,106.23
4.6,13.4,106.23
4.7,13.9,106.23
4.8,0.0,106.23
4.9,12.9,106.23
5.0,13.2,106.23
5.1,13.3,106.23
5.2,12.8,106.23
5.3,0.0,106.23
5.4,13.5,106.23
5.5,13.6,106.23
5.6,0.0,106.23
5.7,13.8,106.25
5.8,13.4,106.25
5.9,0.0,106.25
6.0,13.4,106.25
6.1,13.2,106.25
6.2,13.2,106.25
6.3,25.0,106.25
6.4,0.0,106.25
6.5,13.3,106.25
6.6,25.6,106.25
6.7,13.2,106.25
6.8,13.6,106.25
6.9,25.0,106.25
7.0,13.7,106.25
7.1,13.6,106.25
7.2,13.5,106.25
7.3,13.1,106.25
7.4,13.2,106.25
7.5,13.3,106.25
7.6,13.3,106.25
7.7,14.4,106.25
7.8,25.1,106.25
7.9,13.3,106.25
8.0,12.7,106.25
8.1,13.1,106.25
