time_offset_sec,cpu_percent,memory_rss_mb
0.0,93.2,40.97
0.1,103.3,46.84
0.2,87.5,50.58
0.3,102.4,53.66
0.4,89.2,58.55
0.5,73.4,62.71
0.6,87.0,63.2
0.7,14.2,63.21
0.8,14.6,63.21
0.9,14.7,63.21
1.0,0.0,63.21
1.1,72.5,66.89
1.2,102.3,71.75
1.3,88.7,77.23
1.4,29.6,83.11
1.5,29.4,83.79
1.6,27.8,84.35
1.7,14.3,84.35
1.8,13.8,84.36
1.9,13.7,84.36
2.0,0.0,84.36
2.1,13.8,84.36
2.2,13.6,84.36
2.3,0.0,84.36
2.4,14.5,84.36
2.5,13.9,84.36
2.6,13.9,84.36
2.7,13.6,84.36
2.8,13.8,84.36
2.9,13.8,84.36
3.0,0.0,84.36
3.1,13.6,84.36
3.2,28.7,84.41
3.3,0.0,84.41
3.4,13.7,84.41
3.5,13.9,84.41
3.6,14.7,84.41
3.7,14.0,84.41
3.8,13.9,84.41
3.9,14.8,84.41
4.0,14.7,84.41
4.1,14.2,84.41
4.2,0.0,84.41
4.3,14.1,84.41
4.4,14.6,84.41
4.5,14.1,84.41
4.6,14.7,84.41
4.7,13.8,84.41
4.8,13.7,84.41
4.9,0.0,84.41
5.0,0.0,84.41
5.1,0.0,84.41
5.2,0.0,84.41
5.3,13.8,84.41
5.4,13.8,84.41
5.5,13.6,84.41
5.6,13.7,84.41
5.7,13.7,84.41
5.8,14.3,84.41
5.9,13.7,84.41
6.0,0.0,84.41
6.1,13.7,84.41
6.2,13.8,84.41
6.3,13.8,84.41
6.4,14.0,84.57
6.5,13.7,84.59
6.6,13.5,84.59
6.7,13.6,84.59
6.8,41.4,84.64
6.9,103.2,85.09
7.0,14.7,85.26
7.1,0.0,85.27
7.2,0.0,85.27
7.3,13.7,85.27
7.4,0.0,85.82
7.5,56.8,86.28
7.6,13.6,86.29
7.7,13.7,86.29
7.8,13.7,86.29
7.9,14.0,86.29
8.0,13.7,86.29
8.1,13.5,86.29
8.2,13.8,86.29
8.3,13.7,86.3
8.4,13.7,86.31
8.5,13.8,86.32
8.6,27.4,86.32
8.7,13.7,86.35
8.8,13.6,86.36
8.9,13.7,86.36
9.0,27.5,86.4
9.1,13.8,86.41
9.2,13.6,86.41
9.3,13.6,86.41
9.4,13.6,86.41
9.5,13.7,86.41
9.6,13.8,86.42
9.7,0.0,86.42
9.8,13.8,86.42
9.9,13.9,86.42
10.0,13.7,86.42
10.1,0.0,86.42
10.2,0.0,86.42
10.3,13.6,86.42
10.4,13.5,86.42
10.5,0.0,86.42
10.6,13.5,86.42
10.7,0.0,86.42
10.8,0.0,86.42
10.9,0.0,86.42
11.0,13.7,86.42
11.1,14.0,86.42
11.2,13.7,86.42
11.3,0.0,86.42
11.4,13.6,86.42
11.5,13.9,86.42
11.6,14.3,86.42
11.7,14.0,86.42
11.8,0.0,86.42
11.9,13.9,86.42
12.0,13.8,86.42
12.1,13.6,86.42
12.2,13.7,86.42
12.3,0.0,86.42
12.4,13.7,86.42
12.5,13.6,86.42
12.6,13.7,86.42
12.7,13.8,86.43
12.8,13.7,86.43
12.9,13.6,86.43
13.0,27.2,86.43
13.1,13.5,86.43
13.2,13.6,86.43
13.3,13.7,86.43
13.4,13.9,86.43
13.5,27.1,86.43
13.6,13.6,86.43
13.7,13.6,86.43
13.8,13.6,86.43
13.9,13.6,86.43
14.0,13.6,86.43
14.1,13.7,86.43
14.2,13.9,86.43
14.3,27.3,86.43
14.4,13.6,86.43
14.5,13.6,86.43
14.6,0.0,86.43
14.7,27.3,86.5
14.8,13.7,86.56
14.9,13.5,86.57
15.0,27.9,86.53
15.1,13.7,86.53
15.2,0.0,86.53
15.3,13.7,86.5
15.4,13.9,86.5
15.5,13.8,86.5
15.6,0.0,86.5
15.7,0.0,86.5
15.8,0.0,86.5
15.9,0.0,86.5
16.0,13.9,86.5
16.1,13.7,86.5
16.2,14.8,86.5
16.3,14.5,86.5
16.4,14.0,86.5
16.5,14.3,86.5
16.6,13.6,86.5
16.7,14.0,86.5
16.8,0.0,86.5
16.9,13.8,86.5
17.0,13.9,86.5
17.1,14.3,86.5
17.2,14.7,86.5
17.3,13.7,86.5
17.4,13.8,86.5
17.5,0.0,86.5
17.6,14.1,86.5
17.7,14.4,86.5
17.8,14.1,86.5
17.9,13.9,86.5
18.0,0.0,86.5
18.1,13.5,86.5
18.2,13.5,86.5
18.3,13.7,86.5
18.4,13.7,86.5
18.5,13.7,86.5
18.6,13.6,86.5
18.7,13.6,86.5
18.8,14.4,86.5
18.9,13.6,86.5
19.0,13.8,86.5
19.1,0.0,86.5
19.2,13.6,86.5
19.3,13.6,86.5
19.4,0.0,86.5
19.5,13.5,86.5
19.6,13.6,86.5
19.7,27.0,86.5
19.8,13.7,86.5
19.9,13.8,86.5
20.0,13.7,86.5
20.1,13.6,86.5
20.2,13.6,86.5
20.3,13.5,86.5
20.4,13.6,86.5
20.5,13.7,86.5
20.6,13.5,86.5
20.7,13.8,86.5
20.8,13.6,86.5
20.9,13.6,86.5
21.0,13.6,86.5
21.1,27.1,86.5
21.2,13.6,86.5
21.3,13.6,86.5
21.4,0.0,86.5
21.5,13.6,86.5
21.6,13.8,86.5
21.7,0.0,86.5
21.8,13.7,86.5
21.9,13.9,86.5
22.0,27.4,86.46
22.1,0.0,86.46
22.2,27.4,86.39
22.3,13.6,86.4
22.4,0.0,86.4
22.5,13.7,86.4
22.6,27.5,86.56
22.7,117.9,86.76
22.8,14.7,86.84
22.9,13.8,86.86
23.0,14.3,86.86
23.1,13.8,86.86
23.2,41.1,138.39
23.3,176.7,136.82
23.4,249.8,89.12
23.5,410.8,90.5
23.6,117.8,91.12
23.7,14.4,91.16
23.8,13.7,91.16
23.9,13.8,91.16
24.0,13.8,91.16
24.1,0.0,91.16
24.2,14.0,91.16
24.3,0.0,91.16
24.4,13.8,91.16
24.5,13.7,91.16
24.6,14.0,91.2
24.7,0.0,91.2
24.8,13.8,91.23
24.9,0.0,91.27
25.0,13.7,91.27
25.1,13.8,91.31
25.2,13.6,91.31
25.3,14.0,91.31
25.4,13.6,91.31
25.5,13.6,91.31
25.6,13.8,91.31
25.7,0.0,91.31
25.8,13.7,91.31
25.9,13.5,91.31
26.0,13.7,91.31
26.1,13.7,91.31
26.2,13.8,91.31
26.3,13.7,91.31
26.4,27.1,91.31
