time_offset_sec,cpu_percent,memory_rss_mb
0.0,108.7,108.42
0.1,112.7,108.55
0.2,96.4,108.67
0.3,68.0,108.71
0.4,26.8,108.88
0.5,12.7,108.88
0.6,13.4,108.88
0.7,14.0,108.88
0.8,13.6,108.88
0.9,13.3,108.88
1.0,13.0,108.88
1.1,13.0,108.88
1.2,13.6,108.88
1.3,13.4,108.88
1.4,13.9,108.88
1.5,14.1,108.88
1.6,13.2,108.91
1.7,13.8,108.91
1.8,14.4,108.91
1.9,13.8,108.91
2.0,12.2,108.91
2.1,0.0,108.91
2.2,0.0,108.91
2.3,0.0,108.91
2.4,0.0,108.91
2.5,0.0,108.91
2.6,0.0,108.91
2.7,0.0,108.91
2.8,13.5,108.91
2.9,25.4,108.91
3.0,13.8,108.91
3.1,25.6,108.91
3.2,14.6,108.91
3.3,0.0,108.91
3.4,0.0,108.91
3.5,14.0,108.91
3.6,0.0,108.91
3.7,14.0,108.91
3.8,14.0,108.91
3.9,13.4,108.91
4.0,14.6,108.91
4.1,14.5,108.91
4.2,14.7,108.91
4.3,13.3,108.91
4.4,12.9,108.91
4.5,26.1,108.91
4.6,13.4,108.91
4.7,13.5,108.91
4.8,13.5,108.91
4.9,13.6,108.91
5.0,12.4,108.91
5.1,13.4,108.91
5.2,101.6,109.0
5.3,97.7,109.17
5.4,110.5,109.44
5.5,13.2,109.5
5.6,0.0,109.5
5.7,0.0,109.51
5.8,0.0,109.51
5.9,14.7,109.51
6.0,14.7,109.51
6.1,0.0,109.51
6.2,0.0,109.51
6.3,0.0,109.51
6.4,0.0,109.51
6.5,13.6,109.51
6.6,13.5,109.51
6.7,13.1,109.51
6.8,13.4,109.51
6.9,24.8,109.51
7.0,13.4,109.51
7.1,13.7,109.51
7.2,24.6,109.51
7.3,13.4,109.51
7.4,13.4,109.51
7.5,13.4,109.51
7.6,13.4,109.51
7.7,14.6,109.51
7.8,13.9,109.51
7.9,25.7,109.51
8.0,14.1,109.51
8.1,25.3,109.51
8.2,14.0,109.51
8.3,13.5,109.51
8.4,0.0,109.51
8.5,0.0,109.51
8.6,13.1,109.51
8.7,13.8,109.51
8.8,13.4,109.51
8.9,12.9,109.51
9.0,13.7,109.51
9.1,14.1,109.51
9.2,0.0,109.51
9.3,0.0,109.53
9.4,14.1,109.53
9.5,13.7,109.53
9.6,25.5,109.53
9.7,13.3,109.53
9.8,12.4,109.53
9.9,12.5,109.53
10.0,11.9,109.53
10.1,13.2,109.53
10.2,12.4,109.53
