step,model,run_count,task_name,script_start_time_ist,script_end_time_ist,script_duration_sec,llm_start_time_ist,llm_end_time_ist,llm_duration_sec,prompt_tokens,completion_tokens,total_tokens,prompt_tokens_per_sec,completion_tokens_per_sec,resource_generated_at,resource_last_checked,avg_cpu_1m,avg_mem_1m,avg_cpu_5m,avg_mem_5m
code_gen,meta-llama/llama-4-scout-17b-16e-instruct,1,Temperature Trend Analysis,2026-06-01T15:59:37.057471+05:30,2026-06-01T15:59:39.095158+05:30,2.0376779999933206,2026-06-01T15:59:37.566961+05:30,2026-06-01T15:59:39.095073+05:30,1.528101300005801,2211,385,2596,1446.893605804541,251.9466477769101,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,meta-llama/llama-4-scout-17b-16e-instruct,1,Voltage Anomaly Detection,2026-06-01T15:59:37.057471+05:30,2026-06-01T15:59:40.355687+05:30,3.2982066000113264,2026-06-01T15:59:39.098217+05:30,2026-06-01T15:59:40.355631+05:30,1.2574052999843843,2212,462,2674,1759.178206126116,367.4232962162141,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,meta-llama/llama-4-scout-17b-16e-instruct,1,Temperature-Humidity Correlation Analysis,2026-06-01T15:59:37.057471+05:30,2026-06-01T15:59:41.797235+05:30,4.739753000001656,2026-06-01T15:59:40.359417+05:30,2026-06-01T15:59:41.797181+05:30,1.4377547999902163,2222,539,2761,1545.4651933800676,374.89007166150157,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,meta-llama/llama-4-scout-17b-16e-instruct,1,Light Level Anomaly Detection,2026-06-01T15:59:37.057471+05:30,2026-06-01T15:59:42.944045+05:30,5.886563100008061,2026-06-01T15:59:41.800851+05:30,2026-06-01T15:59:42.943732+05:30,1.1428670000168495,2218,372,2590,1940.73326114701,325.4971925819151,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,meta-llama/llama-4-scout-17b-16e-instruct,1,Voltage-Temperature Trend Analysis,2026-06-01T15:59:37.057471+05:30,2026-06-01T15:59:44.210953+05:30,7.153475500002969,2026-06-01T15:59:42.950132+05:30,2026-06-01T15:59:44.210319+05:30,1.2601630999997724,2219,436,2655,1760.8831745671657,345.9869599419938,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,meta-llama/llama-4-scout-17b-16e-instruct,1,Mote Data Distribution Assessment,2026-06-01T15:59:37.057471+05:30,2026-06-01T15:59:45.253201+05:30,8.195724799996242,2026-06-01T15:59:44.221630+05:30,2026-06-01T15:59:45.252699+05:30,1.0310428999946453,2219,324,2543,2152.1897876524094,314.2449261826862,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,meta-llama/llama-4-scout-17b-16e-instruct,1,Epoch Sequence Gap Detection,2026-06-01T15:59:37.057471+05:30,2026-06-01T15:59:46.393012+05:30,9.335536800004775,2026-06-01T15:59:45.260952+05:30,2026-06-01T15:59:46.392327+05:30,1.1313624000176787,2214,412,2626,1956.9326326961227,364.1627121367672,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,meta-llama/llama-4-scout-17b-16e-instruct,2,Light Level Anomaly Detection,2026-06-01T15:59:55.039615+05:30,2026-06-01T15:59:57.071376+05:30,2.0317546000005677,2026-06-01T15:59:55.573027+05:30,2026-06-01T15:59:57.071057+05:30,1.4980189000198152,2218,419,2637,1480.6221737059934,279.7027460697977,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,meta-llama/llama-4-scout-17b-16e-instruct,2,Voltage-Temperature Trend Analysis,2026-06-01T15:59:55.039615+05:30,2026-06-01T15:59:58.603726+05:30,3.564110699982848,2026-06-01T15:59:57.075164+05:30,2026-06-01T15:59:58.603603+05:30,1.5284232000121847,2219,560,2779,1451.823029107586,366.3906698063309,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,meta-llama/llama-4-scout-17b-16e-instruct,2,Mote Data Distribution Assessment,2026-06-01T15:59:55.039615+05:30,2026-06-01T15:59:59.572769+05:30,4.533145599998534,2026-06-01T15:59:58.612662+05:30,2026-06-01T15:59:59.572732+05:30,0.9600460999936331,2219,335,2554,2311.347340523248,348.94157687034163,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
