step,model,run_count,task_name,status,attempt,script_start_time_ist,script_end_time_ist,script_duration_sec,llm_start_time_ist,llm_end_time_ist,llm_duration_sec,prompt_tokens,completion_tokens,total_tokens,prompt_tokens_per_sec,completion_tokens_per_sec,semantic_performed,semantic_passed,semantic_reasoning
initial_run,"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,openai/gpt-4o-mini",1,Water Usage Efficiency Monitoring,initial_validation,0,2026-07-30T16:47:58.450600+05:30,2026-07-30T16:47:58.534450+05:30,0.08385390001058113,,,,,,,,,no,,
initial_run,"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,openai/gpt-4o-mini",1,Soil Fertility Assessment,initial_validation,0,2026-07-30T16:47:58.450313+05:30,2026-07-30T16:48:04.921999+05:30,6.471742199995788,,,,,,,,,no,,
validation,"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,openai/gpt-4o-mini",1,Environmental Stress Index Calculation,passed,0,2026-07-30T16:47:58.449803+05:30,2026-07-30T16:48:05.170217+05:30,6.7204156999941915,,,,,,,,,yes,yes,"Code matches description, sample data, and output schema valid"
llm_call,anthropic/claude-3-haiku,1,Water Usage Efficiency Monitoring,correction_attempt,1,2026-07-30T16:47:58.450600+05:30,2026-07-30T16:48:05.589270+05:30,7.1386662000004435,2026-07-30T16:47:58.535838+05:30,2026-07-30T16:48:05.589253+05:30,7.05340520000027,3084,839,3923,437.2356206049075,118.94963867948036,no,,
initial_run,"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,openai/gpt-4o-mini",1,Crop Growth Stage Prediction,initial_validation,0,2026-07-30T16:47:58.449583+05:30,2026-07-30T16:48:08.960496+05:30,10.510915899998508,,,,,,,,,no,,
llm_call,anthropic/claude-3-haiku,1,Soil Fertility Assessment,correction_attempt,1,2026-07-30T16:47:58.450313+05:30,2026-07-30T16:48:11.544963+05:30,13.094653499996639,2026-07-30T16:48:04.924693+05:30,2026-07-30T16:48:11.544929+05:30,6.62020490001305,2940,920,3860,444.0950158497669,138.96850836115155,no,,
validation,"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,openai/gpt-4o-mini",1,Pest Pressure Early Warning,passed,0,2026-07-30T16:48:05.171427+05:30,2026-07-30T16:48:11.727872+05:30,6.5564764000009745,,,,,,,,,yes,yes,"Code matches description, sample data, and output schema valid"
llm_call,anthropic/claude-3-haiku,1,Water Usage Efficiency Monitoring,correction_attempt,2,2026-07-30T16:47:58.450600+05:30,2026-07-30T16:48:13.252294+05:30,14.80169590000878,2026-07-30T16:48:05.594833+05:30,2026-07-30T16:48:13.252261+05:30,7.657410400002846,3084,890,3974,402.747121925038,116.22728226760175,no,,
llm_call,anthropic/claude-3-haiku,1,Soil Fertility Assessment,correction_attempt,2,2026-07-30T16:47:58.450313+05:30,2026-07-30T16:48:17.572555+05:30,19.122238399999333,2026-07-30T16:48:11.603259+05:30,2026-07-30T16:48:17.572539+05:30,5.9692614000086905,2679,889,3568,448.799243403229,148.92964814687218,no,,
llm_call,anthropic/claude-3-haiku,1,Crop Growth Stage Prediction,correction_attempt,1,2026-07-30T16:47:58.449583+05:30,2026-07-30T16:48:20.131384+05:30,21.681801099999575,2026-07-30T16:48:08.961472+05:30,2026-07-30T16:48:20.131349+05:30,11.169864199997392,3490,1673,5163,312.4478451582979,149.77800714894911,no,,
llm_call,anthropic/claude-3-haiku,1,Crop Growth Stage Prediction,correction_attempt,2,2026-07-30T16:47:58.449583+05:30,2026-07-30T16:48:32.071531+05:30,33.62194240000099,2026-07-30T16:48:20.189512+05:30,2026-07-30T16:48:32.071516+05:30,11.881982699997025,3305,1632,4937,278.1522312770938,137.35081435528505,no,,
validator_run,"anthropic/claude-3-haiku,google/gemini-3.1-flash-lite,openai/gpt-4o-mini",1,,execution_complete,,2026-07-30T16:47:58.448145+05:30,2026-07-30T16:48:32.116728+05:30,33.668583599996055,,,,,,,,,no,,
