step,model,run_count,task_name,status,attempt,script_start_time_ist,script_end_time_ist,script_duration_sec,llm_start_time_ist,llm_end_time_ist,llm_duration_sec,prompt_tokens,completion_tokens,total_tokens,prompt_tokens_per_sec,completion_tokens_per_sec,semantic_performed,semantic_passed,semantic_reasoning
validation,qwen2.5-coder:7b-instruct-q8_0,1,Determine Temperature-Humidity Stress,failed,0,2026-06-10T15:45:48.225281+05:30,2026-06-10T15:46:26.955641+05:30,38.7303394999999,,,,,,,,,yes,yes,"Code matches description, sample data, and output schema valid"
validation,qwen2.5-coder:7b-instruct-q8_0,1,Predict Crop Growth Stage,passed,0,2026-06-10T15:45:48.226990+05:30,2026-06-10T15:47:25.990490+05:30,97.76350709999997,,,,,,,,,yes,yes,"Code matches description, sample data, and output schema valid"
validation,qwen2.5-coder:7b-instruct-q8_0,1,Analyze Photosynthesis Potential,failed,0,2026-06-10T15:45:48.225998+05:30,2026-06-10T15:48:24.923720+05:30,156.69772059999968,,,,,,,,,yes,yes,"Code matches description, sample data, and output schema valid"
validation,qwen2.5-coder:7b-instruct-q8_0,1,Calculate Soil Fertility Index (SFI),failed,0,2026-06-10T15:45:48.224347+05:30,2026-06-10T15:48:49.841514+05:30,181.61714089999987,,,,,,,,,yes,yes,"Code matches description, sample data, and output schema valid"
validator_run,qwen2.5-coder:7b-instruct-q8_0,1,,execution_complete,,2026-06-10T15:45:48.221886+05:30,2026-06-10T15:48:49.849475+05:30,181.6275697000001,,,,,,,,,no,,
validation,qwen2.5-coder:7b-instruct-q8_0,2,Calculate Soil Fertility Index (SFI),failed,0,2026-06-10T16:06:12.000693+05:30,2026-06-10T16:06:51.410630+05:30,39.409941800000524,,,,,,,,,yes,yes,"Code matches description, sample data, and output schema valid"
validation,qwen2.5-coder:7b-instruct-q8_0,2,Determine Temperature-Humidity Stress,failed,0,2026-06-10T16:06:12.001003+05:30,2026-06-10T16:07:47.764080+05:30,95.76308770000014,,,,,,,,,yes,yes,"Code matches description, sample data, and output schema valid"
validation,qwen2.5-coder:7b-instruct-q8_0,2,Predict Crop Growth Stage,passed,0,2026-06-10T16:06:12.002739+05:30,2026-06-10T16:08:53.018815+05:30,161.0160777000001,,,,,,,,,yes,yes,"Code matches description, sample data, and output schema valid"
validation,qwen2.5-coder:7b-instruct-q8_0,2,Analyze Photosynthesis Potential,failed,0,2026-06-10T16:06:12.001844+05:30,2026-06-10T16:09:13.667171+05:30,181.66532689999985,,,,,,,,,yes,yes,"Code matches description, sample data, and output schema valid"
validator_run,qwen2.5-coder:7b-instruct-q8_0,2,,execution_complete,,2026-06-10T16:06:11.999551+05:30,2026-06-10T16:09:13.675471+05:30,181.6759205999997,,,,,,,,,no,,
