run_id,model,run_count,step,script,start_time_ist,end_time_ist,duration_sec,status,return_code
20260523_131521,llama-3.3-70b-versatile,1,step1_task_generator,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\task_generator.py,2026-05-23T13:15:21.181149+05:30,2026-05-23T13:15:25.642653+05:30,4.461494500021217,success,0
20260523_131521,llama-3.3-70b-versatile,1,step2_code_generator,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\code_generator.py,2026-05-23T13:15:25.643502+05:30,2026-05-23T13:15:54.563805+05:30,28.920294200011995,success,0
20260523_131521,llama-3.3-70b-versatile,1,step3_validator,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\validator.py,2026-05-23T13:15:54.568953+05:30,2026-05-23T13:15:58.774424+05:30,4.205458200012799,success,0
20260523_131521,llama-3.3-70b-versatile,1,step4_scheduler,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\scheduler\edge_scheduler_sequential.py,2026-05-23T13:15:58.774939+05:30,2026-05-23T13:16:32.199668+05:30,33.42472020001151,success,0
20260523_131521,llama-3.3-70b-versatile,2,step1_task_generator,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\task_generator.py,2026-05-23T13:16:32.200347+05:30,2026-05-23T13:16:35.195886+05:30,2.9955287000047974,success,0
20260523_131521,llama-3.3-70b-versatile,2,step2_code_generator,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\code_generator.py,2026-05-23T13:16:35.196472+05:30,2026-05-23T13:17:11.055444+05:30,35.858960399986245,success,0
20260523_131521,llama-3.3-70b-versatile,2,step3_validator,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\validator.py,2026-05-23T13:17:11.056196+05:30,2026-05-23T13:18:06.764240+05:30,55.70803419998265,success,0
20260523_131521,llama-3.3-70b-versatile,2,step4_scheduler,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\scheduler\edge_scheduler_sequential.py,2026-05-23T13:18:06.764862+05:30,2026-05-23T13:19:01.931540+05:30,55.16666109999642,success,0
20260523_131521,llama-3.3-70b-versatile,3,step1_task_generator,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\task_generator.py,2026-05-23T13:19:01.934843+05:30,2026-05-23T13:19:05.314167+05:30,3.3792949999915436,success,0
20260523_131521,llama-3.3-70b-versatile,3,step2_code_generator,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\code_generator.py,2026-05-23T13:19:05.316661+05:30,2026-05-23T13:19:25.499270+05:30,20.182575899991207,success,0
20260523_131521,llama-3.3-70b-versatile,3,step3_validator,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\validator.py,2026-05-23T13:19:25.500018+05:30,2026-05-23T13:19:47.664193+05:30,22.164165900001535,success,0
20260523_131521,llama-3.3-70b-versatile,3,step4_scheduler,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\scheduler\edge_scheduler_sequential.py,2026-05-23T13:19:47.664887+05:30,2026-05-23T13:21:04.519332+05:30,76.8544297000044,success,0
20260523_131521,llama-3.3-70b-versatile,4,step1_task_generator,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\task_generator.py,2026-05-23T13:21:04.522208+05:30,2026-05-23T13:21:08.054654+05:30,3.5324214000138454,success,0
20260523_131521,llama-3.3-70b-versatile,4,step2_code_generator,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\code_generator.py,2026-05-23T13:21:08.055158+05:30,2026-05-23T13:21:30.128590+05:30,22.0734242000035,success,0
20260523_131521,llama-3.3-70b-versatile,4,step3_validator,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\validator.py,2026-05-23T13:21:30.129110+05:30,2026-05-23T13:22:20.891531+05:30,50.76241100000334,success,0
20260523_131521,llama-3.3-70b-versatile,4,step4_scheduler,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\scheduler\edge_scheduler_sequential.py,2026-05-23T13:22:20.892067+05:30,2026-05-23T13:23:53.979304+05:30,93.08722429999034,success,0
20260523_131521,llama-3.3-70b-versatile,5,step1_task_generator,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\task_generator.py,2026-05-23T13:23:53.982028+05:30,2026-05-23T13:23:57.395352+05:30,3.4132911000051536,success,0
20260523_131521,llama-3.3-70b-versatile,5,step2_code_generator,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\code_generator.py,2026-05-23T13:23:57.398411+05:30,2026-05-23T13:24:03.270847+05:30,5.872412900003837,success,0
20260523_131521,llama-3.3-70b-versatile,5,step3_validator,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\validator.py,2026-05-23T13:24:03.271861+05:30,2026-05-23T13:24:09.955283+05:30,6.683412100013811,success,0
20260523_131521,llama-3.3-70b-versatile,5,step4_scheduler,C:\Users\DELL\Desktop\Code More\LEI-LLM-assistedEI\scheduler\edge_scheduler_sequential.py,2026-05-23T13:24:09.955838+05:30,2026-05-23T13:25:56.361063+05:30,106.40521490000538,success,0
