timestamp_ist,step,event_type,run_count,task_name,model_name,cpu_percent,memory_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,cpu_temperature_celsius
2026-05-23T13:15:55.223941+05:30,step3_validator,start,1,,llama-3.3-70b-versatile,2.0,42.8,210805370,1269896569,653251,1374589,
2026-05-23T13:15:55.742528+05:30,step3_validator,end,1,,llama-3.3-70b-versatile,1.2,42.7,210805434,1269897395,653252,1374594,
2026-05-23T13:17:11.703253+05:30,step3_validator,start,2,,llama-3.3-70b-versatile,2.8,42.7,211621748,1282534575,660901,1385582,
2026-05-23T13:17:12.226121+05:30,step3_validator,end,2,,llama-3.3-70b-versatile,8.6,42.7,211621823,1282534774,660902,1385585,
2026-05-23T13:19:26.147296+05:30,step3_validator,start,3,,llama-3.3-70b-versatile,2.7,42.7,215582447,1338221507,673813,1427984,
2026-05-23T13:19:26.665539+05:30,step3_validator,end,3,,llama-3.3-70b-versatile,7.3,42.7,215582447,1338222043,673813,1427991,
2026-05-23T13:21:30.773634+05:30,step3_validator,start,4,,llama-3.3-70b-versatile,3.2,42.4,216655998,1348884859,677064,1440742,
2026-05-23T13:21:31.279929+05:30,step3_validator,end,4,,llama-3.3-70b-versatile,3.5,42.3,216657724,1348891589,677070,1440760,
2026-05-23T13:24:03.977351+05:30,step3_validator,start,5,,llama-3.3-70b-versatile,8.8,42.3,217302979,1357473977,679112,1450619,
2026-05-23T13:24:04.498268+05:30,step3_validator,end,5,,llama-3.3-70b-versatile,10.7,42.3,217303202,1357474506,679114,1450624,
