step,model,run_count,task_name,script_start_time_ist,script_end_time_ist,script_duration_sec,llm_start_time_ist,llm_end_time_ist,llm_duration_sec,prompt_tokens,completion_tokens,total_tokens,prompt_tokens_per_sec,completion_tokens_per_sec,resource_generated_at,resource_last_checked,avg_cpu_1m,avg_mem_1m,avg_cpu_5m,avg_mem_5m
code_gen,llama-3.3-70b-versatile,1,soil_moisture_gradient_analysis,2026-05-28T11:37:37.050902+05:30,2026-05-28T11:37:39.001160+05:30,1.9502511999744456,2026-05-28T11:37:37.558520+05:30,2026-05-28T11:37:39.000954+05:30,1.4424225999973714,1728,413,2141,1197.9845573711539,286.32385543650844,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,llama-3.3-70b-versatile,1,soil_temperature_stratification,2026-05-28T11:37:37.050902+05:30,2026-05-28T11:37:40.527776+05:30,3.4768633999919984,2026-05-28T11:37:39.006812+05:30,2026-05-28T11:37:40.527739+05:30,1.5209152000024915,1715,586,2301,1127.6105334453825,385.29432804606074,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,llama-3.3-70b-versatile,1,temporal_moisture_trends,2026-05-28T11:37:37.050902+05:30,2026-05-28T11:37:41.764943+05:30,4.7140353999857325,2026-05-28T11:37:40.529782+05:30,2026-05-28T11:37:41.764848+05:30,1.2350567000103183,1711,408,2119,1385.3614979666158,330.34920582722344,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,llama-3.3-70b-versatile,1,root_zone_health_assessment,2026-05-28T11:37:37.050902+05:30,2026-05-28T11:37:43.922815+05:30,6.871906199987279,2026-05-28T11:37:41.770105+05:30,2026-05-28T11:37:43.922732+05:30,2.1526054000132717,1712,907,2619,795.3152955899138,421.34986746498356,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,llama-3.3-70b-versatile,1,drought_stress_detection,2026-05-28T11:37:37.050902+05:30,2026-05-28T11:37:45.463892+05:30,8.412987399991835,2026-05-28T11:37:43.931833+05:30,2026-05-28T11:37:45.463803+05:30,1.5319436000136193,1707,602,2309,1114.2707864603008,392.9648584939081,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,llama-3.3-70b-versatile,2,soil_moisture_threshold_analysis,2026-05-28T11:39:26.420040+05:30,2026-05-28T11:39:28.609074+05:30,2.189024799998151,2026-05-28T11:39:26.945169+05:30,2026-05-28T11:39:28.609001+05:30,1.6638149000064004,1715,541,2256,1030.7636985300485,325.15636204358964,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,llama-3.3-70b-versatile,2,daily_soil_temperature_fluctuation_analysis,2026-05-28T11:39:26.420040+05:30,2026-05-28T11:39:29.964546+05:30,3.5445029999827966,2026-05-28T11:39:28.612585+05:30,2026-05-28T11:39:29.964414+05:30,1.3518137999926694,1715,488,2203,1268.6658473299356,360.9964626804715,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,llama-3.3-70b-versatile,2,soil_moisture_content_trend_forecasting,2026-05-28T11:39:26.420040+05:30,2026-05-28T11:39:31.696456+05:30,5.276433099992573,2026-05-28T11:39:29.971720+05:30,2026-05-28T11:39:31.696120+05:30,1.7243837999994867,1714,549,2263,993.9782547252591,318.37459850884903,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,llama-3.3-70b-versatile,2,irrigation_event_detection,2026-05-28T11:39:26.420040+05:30,2026-05-28T11:39:33.269924+05:30,6.849878299981356,2026-05-28T11:39:31.704232+05:30,2026-05-28T11:39:33.269826+05:30,1.5655821000109427,1709,623,2332,1091.6067576322282,397.9350555909176,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
code_gen,llama-3.3-70b-versatile,2,root_zone_moisture_balance,2026-05-28T11:39:26.420040+05:30,2026-05-28T11:39:34.595144+05:30,8.175094699981855,2026-05-28T11:39:33.276184+05:30,2026-05-28T11:39:34.595076+05:30,1.3188733000133652,1717,464,2181,1301.8687996660485,351.8154473180236,2025-11-17T14:47:59.982391,2025-11-17T14:47:59.982398,0.0,3.1,0.0,3.1
